1,1,'Text','Simple text message','General','Plain',1000,false,false,true,true,true,true,true,true,false,true,true,'{}'
2,2,'Image','Image message','Media',"'JPEG, PNG'",10,true,true,false,false,false,false,false,false,false,false,true,'{}'
3,3,'Video','Video message','Media','MP4',100,true,true,false,false,false,false,false,false,false,false,true,'{}'
4,4,'Audio','Audio message','Media','MP3',50,true,true,false,false,false,false,false,false,false,false,true,'{}'
5,5,'File','File attachment','Attachment','Any',1024,true,true,false,false,false,false,false,false,false,false,true,'{}'
6,6,'Location','Location sharing','Location','GPS Coordinates',1,true,false,false,false,false,false,false,false,false,false,true,'{}'
7,7,'Poll','Poll message','Interactive','Options',5,false,false,false,false,false,false,false,false,true,false,true,'{}'
8,8,'Event','Event invitation','Event','Calendar Invite',1,false,false,false,false,false,false,false,false,false,false,true,'{}'
9,9,'Link','Web link','General','URL',255,false,false,false,false,false,false,false,false,false,false,true,'{}'
10,10,'Emoticon','Emoticon message','Emoticon','Text-based',5,false,false,true,false,false,false,true,false,false,false,true,'{}'
11,11,'Sticker','Sticker message','Sticker','Image',1,true,false,false,false,false,false,false,true,false,false,true,'{}'
12,12,'Document','Document attachment','Attachment',"'PDF, DOCX'",20,true,true,false,false,false,false,false,false,false,false,true,'{}'
13,13,'Contact','Contact card','General','VCF',1,true,false,false,false,false,false,false,false,false,false,true,'{}'
14,14,'Voice Note','Voice message','Media','MP3',300,true,true,false,false,false,false,false,false,false,false,true,'{}'
15,15,'Meeting','Meeting invitation','Event','Calendar Invite',1,false,false,false,false,false,false,false,false,false,false,true,'{}'
16,16,'Code','Code snippet','General','Text',1000,false,false,true,true,false,false,false,false,false,false,true,'{}'
17,17,'Payment','Payment request','Transactional',"'Amount, Currency'",1,false,false,false,false,false,false,false,false,false,false,true,'{}'
18,8,'Reminder','Reminder message','Event','Text',255,false,false,true,true,false,false,false,false,false,false,true,'{}'
19,9,'Task','Task assignment','Task','Text',255,false,false,true,true,false,false,false,false,false,false,true,'{}'
20,10,'Quote','Quoted message','General','Text',255,false,false,true,true,false,false,false,false,false,false,true,'{}'
