1,1,'document1.pdf','/uploads/documents/document1.pdf',1024,'PDF','2024-04-03 12:25:02.677375','This is a PDF document.',true,'Public',0,'pdf','192.168.0.1',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','AWS S3',"'{""key1"": ""value1""}'",true,NULL
2,1,'image1.jpg','/uploads/images/image1.jpg',2048,'JPEG','2024-04-03 12:25:02.677375','This is an image.',true,'Public',0,'jpg','192.168.0.1',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','AWS S3',"'{""key2"": ""value2""}'",false,NULL
3,2,'document2.docx','/uploads/documents/document2.docx',1536,'DOCX','2024-04-03 12:25:02.677375','This is a Word document.',true,'Public',0,'docx','192.168.0.2',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','Google Drive',"'{""key3"": ""value3""}'",true,NULL
4,2,'image2.png','/uploads/images/image2.png',4096,'PNG','2024-04-03 12:25:02.677375','This is another image.',true,'Public',0,'png','192.168.0.2',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','Google Drive',"'{""key4"": ""value4""}'",false,NULL
5,3,'document3.txt','/uploads/documents/document3.txt',512,'TXT','2024-04-03 12:25:02.677375','This is a text file.',true,'Public',0,'txt','192.168.0.3',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','Dropbox',"'{""key5"": ""value5""}'",true,NULL
6,3,'image3.jpeg','/uploads/images/image3.jpeg',8192,'JPEG','2024-04-03 12:25:02.677375','This is yet another image.',true,'Public',0,'jpeg','192.168.0.3',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','Dropbox',"'{""key6"": ""value6""}'",false,NULL
7,4,'document4.pdf','/uploads/documents/document4.pdf',2048,'PDF','2024-04-03 12:25:02.677375','This is a PDF document.',true,'Public',0,'pdf','192.168.0.4',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','OneDrive',"'{""key7"": ""value7""}'",true,NULL
8,4,'image4.jpg','/uploads/images/image4.jpg',1024,'JPEG','2024-04-03 12:25:02.677375','This is an image.',true,'Public',0,'jpg','192.168.0.4',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','OneDrive',"'{""key8"": ""value8""}'",false,NULL
9,5,'document5.docx','/uploads/documents/document5.docx',4096,'DOCX','2024-04-03 12:25:02.677375','This is a Word document.',true,'Public',0,'docx','192.168.0.5',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','Local server',"'{""key9"": ""value9""}'",true,NULL
10,5,'image5.png','/uploads/images/image5.png',8192,'PNG','2024-04-03 12:25:02.677375','This is another image.',true,'Public',0,'png','192.168.0.5',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','Local server',"'{""key10"": ""value10""}'",false,NULL
11,6,'document6.txt','/uploads/documents/document6.txt',1024,'TXT','2024-04-03 12:25:02.677375','This is a text file.',true,'Public',0,'txt','192.168.0.6',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','Local server',"'{""key11"": ""value11""}'",true,NULL
12,6,'image6.jpeg','/uploads/images/image6.jpeg',2048,'JPEG','2024-04-03 12:25:02.677375','This is yet another image.',true,'Public',0,'jpeg','192.168.0.6',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','Local server',"'{""key12"": ""value12""}'",false,NULL
13,7,'document7.pdf','/uploads/documents/document7.pdf',2048,'PDF','2024-04-03 12:25:02.677375','This is a PDF document.',true,'Public',0,'pdf','192.168.0.7',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','Local server',"'{""key13"": ""value13""}'",true,NULL
14,7,'image7.jpg','/uploads/images/image7.jpg',1024,'JPEG','2024-04-03 12:25:02.677375','This is an image.',true,'Public',0,'jpg','192.168.0.7',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','Local server',"'{""key14"": ""value14""}'",false,NULL
15,8,'document8.docx','/uploads/documents/document8.docx',1024,'DOCX','2024-04-03 12:25:02.677375','This is a Word document.',true,'Public',0,'docx','192.168.0.8',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','Local server',"'{""key15"": ""value15""}'",true,NULL
16,8,'image8.png','/uploads/images/image8.png',2048,'PNG','2024-04-03 12:25:02.677375','This is another image.',true,'Public',0,'png','192.168.0.8',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','Local server',"'{""key16"": ""value16""}'",false,NULL
17,9,'document9.txt','/uploads/documents/document9.txt',512,'TXT','2024-04-03 12:25:02.677375','This is a text file.',true,'Public',0,'txt','192.168.0.9',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','Local server',"'{""key17"": ""value17""}'",true,NULL
18,9,'image9.jpeg','/uploads/images/image9.jpeg',4096,'JPEG','2024-04-03 12:25:02.677375','This is yet another image.',true,'Public',0,'jpeg','192.168.0.9',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','Local server',"'{""key18"": ""value18""}'",false,NULL
19,10,'document10.pdf','/uploads/documents/document10.pdf',1024,'PDF','2024-04-03 12:25:02.677375','This is a PDF document.',true,'Public',0,'pdf','192.168.0.10',NULL,'2024-04-01 00:00:00',"'document, important'",'General','Read-Write','Local server',"'{""key19"": ""value19""}'",true,NULL
20,10,'image10.jpg','/uploads/images/image10.jpg',2048,'JPEG','2024-04-03 12:25:02.677375','This is an image.',true,'Public',0,'jpg','192.168.0.10',NULL,'2024-04-01 00:00:00',"'image, photo'",'General','Read-Write','Local server',"'{""key20"": ""value20""}'",false,NULL
