1,1,'Light','English','Default','Hourly',true,'24-hour','UTC',true,'First Last',12,true,false,true,true,"'{""conversations"": [2, 3, 4]}'","'{""notes"": ""Custom metadata for user preferences""}'"
2,2,'Dark','Spanish','Chime','Daily',false,'12-hour','PST',false,"'Last, First'",14,true,true,false,true,"'{""conversations"": [1, 3, 5]}'","'{""notes"": ""Custom metadata for user preferences""}'"
3,3,'Light','French','Bell','Off',true,'24-hour','CET',true,'First Last',12,false,false,true,true,"'{""conversations"": [4, 5, 6]}'","'{""notes"": ""Custom metadata for user preferences""}'"
4,4,'Dark','German','Silent','Off',false,'12-hour','CET',true,"'Last, First'",14,true,true,true,true,"'{""conversations"": [3, 7, 8]}'","'{""notes"": ""Custom metadata for user preferences""}'"
5,5,'Light','Italian','Default','Hourly',true,'24-hour','CET',false,'First Last',12,false,true,true,true,"'{""conversations"": [1, 2, 10]}'","'{""notes"": ""Custom metadata for user preferences""}'"
6,6,'Dark','English','Chime','Daily',false,'12-hour','EST',true,"'Last, First'",14,true,false,true,false,"'{""conversations"": [9, 10]}'","'{""notes"": ""Custom metadata for user preferences""}'"
7,7,'Light','Spanish','Bell','Off',true,'24-hour','UTC',true,'First Last',12,true,true,false,false,"'{""conversations"": [5, 6, 7]}'","'{""notes"": ""Custom metadata for user preferences""}'"
8,8,'Dark','French','Silent','Off',false,'12-hour','PST',false,"'Last, First'",14,false,false,false,true,"'{""conversations"": [2, 4, 8]}'","'{""notes"": ""Custom metadata for user preferences""}'"
9,9,'Light','German','Default','Hourly',true,'24-hour','CET',true,'First Last',12,true,false,true,true,"'{""conversations"": [1, 3, 9]}'","'{""notes"": ""Custom metadata for user preferences""}'"
10,10,'Dark','Italian','Chime','Daily',false,'12-hour','EST',true,"'Last, First'",14,true,true,false,true,"'{""conversations"": [4, 5, 7]}'","'{""notes"": ""Custom metadata for user preferences""}'"
11,11,'Light','English','Bell','Off',true,'24-hour','UTC',false,'First Last',12,false,true,true,true,"'{""conversations"": [2, 3, 4]}'","'{""notes"": ""Custom metadata for user preferences""}'"
12,12,'Dark','Spanish','Silent','Off',false,'12-hour','PST',false,"'Last, First'",14,true,false,true,false,"'{""conversations"": [1, 3, 5]}'","'{""notes"": ""Custom metadata for user preferences""}'"
13,13,'Light','French','Default','Hourly',true,'24-hour','CET',true,'First Last',12,false,false,false,true,"'{""conversations"": [4, 5, 6]}'","'{""notes"": ""Custom metadata for user preferences""}'"
14,14,'Dark','German','Chime','Daily',false,'12-hour','CET',true,"'Last, First'",14,true,true,true,true,"'{""conversations"": [3, 7, 8]}'","'{""notes"": ""Custom metadata for user preferences""}'"
15,15,'Light','Italian','Bell','Off',true,'24-hour','CET',false,'First Last',12,true,true,false,false,"'{""conversations"": [1, 2, 10]}'","'{""notes"": ""Custom metadata for user preferences""}'"
16,16,'Dark','English','Silent','Off',false,'12-hour','EST',true,"'Last, First'",14,false,false,true,true,"'{""conversations"": [9, 10]}'","'{""notes"": ""Custom metadata for user preferences""}'"
17,17,'Light','Spanish','Default','Hourly',true,'24-hour','UTC',true,'First Last',12,true,false,false,true,"'{""conversations"": [5, 6, 7]}'","'{""notes"": ""Custom metadata for user preferences""}'"
18,18,'Dark','French','Chime','Daily',false,'12-hour','PST',false,"'Last, First'",14,false,true,true,false,"'{""conversations"": [2, 4, 8]}'","'{""notes"": ""Custom metadata for user preferences""}'"
19,19,'Light','German','Bell','Off',true,'24-hour','CET',true,'First Last',12,false,true,true,true,"'{""conversations"": [1, 3, 9]}'","'{""notes"": ""Custom metadata for user preferences""}'"
20,20,'Dark','Italian','Silent','Off',false,'12-hour','CET',false,"'Last, First'",14,true,false,false,true,"'{""conversations"": [4, 5, 7]}'","'{""notes"": ""Custom metadata for user preferences""}'"
