1,1,2,'READ_POST','Permission to read posts.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.1','192.168.0.2',"'{""scope"": ""public""}'"
2,2,3,'WRITE_POST','Permission to write posts.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.3','192.168.0.4',"'{""scope"": ""public""}'"
3,3,4,'DELETE_POST','Permission to delete posts.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.5','192.168.0.6',"'{""scope"": ""private""}'"
4,4,5,'READ_COMMENT','Permission to read comments.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.7','192.168.0.8',"'{""scope"": ""public""}'"
5,5,6,'WRITE_COMMENT','Permission to write comments.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.9','192.168.0.10',"'{""scope"": ""public""}'"
6,6,7,'DELETE_COMMENT','Permission to delete comments.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.11','192.168.0.12',"'{""scope"": ""private""}'"
7,7,8,'EDIT_POST','Permission to edit posts.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.13','192.168.0.14',"'{""scope"": ""public""}'"
8,8,9,'EDIT_COMMENT','Permission to edit comments.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.15','192.168.0.16',"'{""scope"": ""public""}'"
9,9,10,'FLAG_POST','Permission to flag posts.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.17','192.168.0.18',"'{""scope"": ""public""}'"
10,10,11,'FLAG_COMMENT','Permission to flag comments.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.19','192.168.0.20',"'{""scope"": ""public""}'"
11,11,12,'LIKE_POST','Permission to like posts.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.21','192.168.0.22',"'{""scope"": ""public""}'"
12,12,13,'LIKE_COMMENT','Permission to like comments.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.23','192.168.0.24',"'{""scope"": ""public""}'"
13,13,14,'FOLLOW_USER','Permission to follow users.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.25','192.168.0.26',"'{""scope"": ""public""}'"
14,14,15,'SEND_MESSAGE','Permission to send messages.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.27','192.168.0.28',"'{""scope"": ""public""}'"
15,15,16,'CREATE_GROUP','Permission to create groups.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.29','192.168.0.30',"'{""scope"": ""public""}'"
16,16,17,'DELETE_GROUP','Permission to delete groups.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.31','192.168.0.32',"'{""scope"": ""private""}'"
17,17,18,'ADD_MEMBER','Permission to add members to groups.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.33','192.168.0.34',"'{""scope"": ""public""}'"
18,18,19,'REMOVE_MEMBER','Permission to remove members from groups.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.35','192.168.0.36',"'{""scope"": ""private""}'"
19,19,20,'EDIT_GROUP_INFO','Permission to edit group information.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.37','192.168.0.38',"'{""scope"": ""public""}'"
20,20,1,'VIEW_GROUP_MEMBERS','Permission to view group members.','2024-04-03 12:25:02.677375',NULL,true,true,true,true,NULL,'192.168.0.39','192.168.0.40',"'{""scope"": ""public""}'"
