1,'United States','North America','North America',-95.712891,37.090240
2,'Canada','North America','North America',-106.346771,56.130366
3,'Brazil','South America','South America',-51.925280,-14.235004
4,'Argentina','South America','South America',-63.616672,-38.416097
5,'United Kingdom','Europe','Northern Europe',-3.435973,55.378051
6,'Germany','Europe','Western Europe',10.451526,51.165691
7,'France','Europe','Western Europe',2.213749,46.227638
8,'Italy','Europe','Southern Europe',12.567380,41.871940
9,'Spain','Europe','Southern Europe',-3.749220,40.463667
10,'China','Asia','Eastern Asia',104.195397,35.861660
11,'Japan','Asia','Eastern Asia',138.252924,36.204824
12,'India','Asia','Southern Asia',78.962880,20.593684
13,'Australia','Oceania','Australia and New Zealand',133.775136,-25.274398
14,'New Zealand','Oceania','Australia and New Zealand',174.885971,-40.900557
15,'South Africa','Africa','Southern Africa',22.937506,-30.559482
16,'Nigeria','Africa','Western Africa',8.675277,9.081999
17,'Egypt','Africa','Northern Africa',30.802498,26.820553
18,'Russia','Europe','Eastern Europe',105.318756,61.524010
19,'Saudi Arabia','Asia','Western Asia',45.079162,23.885942
20,'Mexico','North America','Central America',-102.552784,23.634501
