1,1,'Login','2024-04-03 12:25:02.677375','User logged in successfully','192.168.1.1','Mozilla/5.0','https://example.com/login',1,'Chrome','Windows 10','https://example.com',NULL,"'New York, USA'",3600,'{}','2024-04-03 12:25:02.677375'
2,2,'Page Visit','2024-04-03 12:25:02.677375','User visited homepage','10.0.0.1','Mozilla/5.0','https://example.com',2,'Firefox','Ubuntu 20.04','https://google.com',NULL,"'London, UK'",1800,'{}','2024-04-03 12:25:02.677375'
3,3,'Logout','2024-04-03 12:25:02.677375','User logged out','172.16.0.1','Mozilla/5.0','https://example.com/logout',3,'Safari','macOS','https://example.com/dashboard',NULL,"'Los Angeles, USA'",7200,'{}','2024-04-03 12:25:02.677375'
4,4,'Search','2024-04-03 12:25:02.677375',"'User searched for ""cats""'",'192.168.0.100','Mozilla/5.0','https://example.com/search?q=cats',4,'Edge','Windows 11','https://example.com',NULL,"'Paris, France'",2400,'{}','2024-04-03 12:25:02.677375'
5,5,'Login','2024-04-03 12:25:02.677375','User logged in successfully','10.1.1.10','Mozilla/5.0','https://example.com/login',5,'Chrome','Windows 10','https://example.com',NULL,"'Sydney, Australia'",3600,'{}','2024-04-03 12:25:02.677375'
6,6,'Page Visit','2024-04-03 12:25:02.677375','User visited profile page','172.16.0.100','Mozilla/5.0','https://example.com/profile',6,'Firefox','Ubuntu 20.04','https://example.com',NULL,"'Berlin, Germany'",1800,'{}','2024-04-03 12:25:02.677375'
7,7,'Logout','2024-04-03 12:25:02.677375','User logged out','192.168.2.1','Mozilla/5.0','https://example.com/logout',7,'Safari','macOS','https://example.com',NULL,"'Tokyo, Japan'",7200,'{}','2024-04-03 12:25:02.677375'
8,8,'Search','2024-04-03 12:25:02.677375',"'User searched for ""dogs""'",'192.168.0.200','Mozilla/5.0','https://example.com/search?q=dogs',8,'Edge','Windows 11','https://example.com',NULL,"'Toronto, Canada'",2400,'{}','2024-04-03 12:25:02.677375'
9,9,'Login','2024-04-03 12:25:02.677375','User logged in successfully','10.2.2.20','Mozilla/5.0','https://example.com/login',9,'Chrome','Windows 10','https://example.com',NULL,"'Moscow, Russia'",3600,'{}','2024-04-03 12:25:02.677375'
10,10,'Page Visit','2024-04-03 12:25:02.677375','User visited settings page','192.168.0.150','Mozilla/5.0','https://example.com/settings',10,'Firefox','Ubuntu 20.04','https://example.com',NULL,"'Madrid, Spain'",1800,'{}','2024-04-03 12:25:02.677375'
11,11,'Logout','2024-04-03 12:25:02.677375','User logged out','172.16.0.2','Mozilla/5.0','https://example.com/logout',11,'Safari','macOS','https://example.com',NULL,"'Seoul, South Korea'",7200,'{}','2024-04-03 12:25:02.677375'
12,12,'Search','2024-04-03 12:25:02.677375',"'User searched for ""books""'",'192.168.0.250','Mozilla/5.0','https://example.com/search?q=books',12,'Edge','Windows 11','https://example.com',NULL,"'Mexico City, Mexico'",2400,'{}','2024-04-03 12:25:02.677375'
13,13,'Login','2024-04-03 12:25:02.677375','User logged in successfully','10.3.3.30','Mozilla/5.0','https://example.com/login',13,'Chrome','Windows 10','https://example.com',NULL,"'Cairo, Egypt'",3600,'{}','2024-04-03 12:25:02.677375'
14,14,'Page Visit','2024-04-03 12:25:02.677375','User visited dashboard','192.168.0.50','Mozilla/5.0','https://example.com/dashboard',14,'Firefox','Ubuntu 20.04','https://example.com',NULL,"'Bangkok, Thailand'",1800,'{}','2024-04-03 12:25:02.677375'
15,15,'Logout','2024-04-03 12:25:02.677375','User logged out','172.16.0.3','Mozilla/5.0','https://example.com/logout',15,'Safari','macOS','https://example.com',NULL,'Singapore',7200,'{}','2024-04-03 12:25:02.677375'
16,16,'Search','2024-04-03 12:25:02.677375',"'User searched for ""music""'",'192.168.0.300','Mozilla/5.0','https://example.com/search?q=music',16,'Edge','Windows 11','https://example.com',NULL,"'Berlin, Germany'",2400,'{}','2024-04-03 12:25:02.677375'
17,17,'Login','2024-04-03 12:25:02.677375','User logged in successfully','10.4.4.40','Mozilla/5.0','https://example.com/login',17,'Chrome','Windows 10','https://example.com',NULL,"'Paris, France'",3600,'{}','2024-04-03 12:25:02.677375'
18,18,'Page Visit','2024-04-03 12:25:02.677375','User visited forums','192.168.0.75','Mozilla/5.0','https://example.com/forums',18,'Firefox','Ubuntu 20.04','https://example.com',NULL,"'New York, USA'",1800,'{}','2024-04-03 12:25:02.677375'
19,19,'Logout','2024-04-03 12:25:02.677375','User logged out','172.16.0.4','Mozilla/5.0','https://example.com/logout',19,'Safari','macOS','https://example.com',NULL,"'Tokyo, Japan'",7200,'{}','2024-04-03 12:25:02.677375'
20,20,'Search','2024-04-03 12:25:02.677375',"'User searched for ""movies""'",'192.168.0.400','Mozilla/5.0','https://example.com/search?q=movies',20,'Edge','Windows 11','https://example.com',NULL,"'London, UK'",2400,'{}','2024-04-03 12:25:02.677375'
