1,1,2,1,'Work','Labels related to work conversations','2024-04-03 12:25:02.677375',NULL,10,'private',true,5,NULL,'#FF5733',"'{""key1"": ""value1""}'","'{""key1"": ""value1""}'",true,'default'
2,2,3,2,'Family','Labels related to family conversations','2024-04-03 12:25:02.677375',NULL,8,'private',true,4,NULL,'#3366FF',"'{""key2"": ""value2""}'","'{""key2"": ""value2""}'",true,'default'
3,3,4,3,'Friends','Labels related to friend conversations','2024-04-03 12:25:02.677375',NULL,12,'private',true,6,NULL,'#33FF33',"'{""key3"": ""value3""}'","'{""key3"": ""value3""}'",true,'default'
4,4,5,4,'Important','Labels related to important conversations','2024-04-03 12:25:02.677375',NULL,5,'private',true,3,NULL,'#FF3366',"'{""key4"": ""value4""}'","'{""key4"": ""value4""}'",true,'default'
5,5,6,5,'Personal','Labels related to personal conversations','2024-04-03 12:25:02.677375',NULL,15,'private',true,8,NULL,'#6633FF',"'{""key5"": ""value5""}'","'{""key5"": ""value5""}'",true,'default'
6,6,7,6,'Meetings','Labels related to meeting conversations','2024-04-03 12:25:02.677375',NULL,7,'private',true,2,NULL,'#FF9933',"'{""key6"": ""value6""}'","'{""key6"": ""value6""}'",true,'default'
7,7,8,7,'Events','Labels related to event conversations','2024-04-03 12:25:02.677375',NULL,9,'private',true,4,NULL,'#33FF99',"'{""key7"": ""value7""}'","'{""key7"": ""value7""}'",true,'default'
8,8,9,8,'Shopping','Labels related to shopping conversations','2024-04-03 12:25:02.677375',NULL,4,'private',true,1,NULL,'#FFFF33',"'{""key8"": ""value8""}'","'{""key8"": ""value8""}'",true,'default'
9,9,10,9,'Travel','Labels related to travel conversations','2024-04-03 12:25:02.677375',NULL,11,'private',true,5,NULL,'#FF33FF',"'{""key9"": ""value9""}'","'{""key9"": ""value9""}'",true,'default'
10,10,1,10,'Hobbies','Labels related to hobby conversations','2024-04-03 12:25:02.677375',NULL,6,'private',true,3,NULL,'#33CCFF',"'{""key10"": ""value10""}'","'{""key10"": ""value10""}'",true,'default'
11,1,2,1,'Work','Labels related to work conversations','2024-04-03 12:25:02.677375',NULL,10,'private',true,5,NULL,'#FF5733',"'{""key11"": ""value11""}'","'{""key11"": ""value11""}'",true,'default'
12,2,3,2,'Family','Labels related to family conversations','2024-04-03 12:25:02.677375',NULL,8,'private',true,4,NULL,'#3366FF',"'{""key12"": ""value12""}'","'{""key12"": ""value12""}'",true,'default'
13,3,4,3,'Friends','Labels related to friend conversations','2024-04-03 12:25:02.677375',NULL,12,'private',true,6,NULL,'#33FF33',"'{""key13"": ""value13""}'","'{""key13"": ""value13""}'",true,'default'
14,4,5,4,'Important','Labels related to important conversations','2024-04-03 12:25:02.677375',NULL,5,'private',true,3,NULL,'#FF3366',"'{""key14"": ""value14""}'","'{""key14"": ""value14""}'",true,'default'
15,5,6,5,'Personal','Labels related to personal conversations','2024-04-03 12:25:02.677375',NULL,15,'private',true,8,NULL,'#6633FF',"'{""key15"": ""value15""}'","'{""key15"": ""value15""}'",true,'default'
16,6,7,6,'Meetings','Labels related to meeting conversations','2024-04-03 12:25:02.677375',NULL,7,'private',true,2,NULL,'#FF9933',"'{""key16"": ""value16""}'","'{""key16"": ""value16""}'",true,'default'
17,7,8,7,'Events','Labels related to event conversations','2024-04-03 12:25:02.677375',NULL,9,'private',true,4,NULL,'#33FF99',"'{""key17"": ""value17""}'","'{""key17"": ""value17""}'",true,'default'
18,8,9,8,'Shopping','Labels related to shopping conversations','2024-04-03 12:25:02.677375',NULL,4,'private',true,1,NULL,'#FFFF33',"'{""key18"": ""value18""}'","'{""key18"": ""value18""}'",true,'default'
19,9,10,9,'Travel','Labels related to travel conversations','2024-04-03 12:25:02.677375',NULL,11,'private',true,5,NULL,'#FF33FF',"'{""key19"": ""value19""}'","'{""key19"": ""value19""}'",true,'default'
20,10,1,10,'Hobbies','Labels related to hobby conversations','2024-04-03 12:25:02.677375',NULL,6,'private',true,3,NULL,'#33CCFF',"'{""key20"": ""value20""}'","'{""key20"": ""value20""}'",true,'default'
