1,1,2,'Admin','Administrative role with full access permissions.','2024-04-03 12:25:02.677375',NULL,true,true,"'{""admin"": true}'","'{""can_delete_users"": true, ""can_edit_roles"": true}'",NULL,'192.168.0.1','192.168.0.2','Desktop','Desktop',10,"'{""session_id"": ""123abc"", ""last_login"": ""2024-03-06 10:00:00""}'"
2,2,3,'Moderator','Moderator role with limited permissions.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""moderator"": true}'","'{""can_approve_posts"": true, ""can_delete_comments"": true}'",NULL,'192.168.0.3','192.168.0.4','Laptop','Laptop',8,"'{""session_id"": ""456def"", ""last_login"": ""2024-03-06 11:00:00""}'"
3,3,4,'User','Standard user role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""user"": true}'",NULL,NULL,'192.168.0.5','192.168.0.6','Mobile','Mobile',15,"'{""session_id"": ""789ghi"", ""last_login"": ""2024-03-06 12:00:00""}'"
4,4,5,'Guest','Guest user role with limited access.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""guest"": true}'",NULL,NULL,'192.168.0.7','192.168.0.8','Tablet','Tablet',5,"'{""session_id"": ""abc123"", ""last_login"": ""2024-03-06 13:00:00""}'"
5,5,6,'Tester','Role for testing purposes.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""tester"": true}'",NULL,NULL,'192.168.0.9','192.168.0.10','Desktop','Desktop',12,"'{""session_id"": ""def456"", ""last_login"": ""2024-03-06 14:00:00""}'"
6,6,7,'Viewer','Role for viewing only.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""viewer"": true}'",NULL,NULL,'192.168.0.11','192.168.0.12','Laptop','Laptop',7,"'{""session_id"": ""ghi789"", ""last_login"": ""2024-03-06 15:00:00""}'"
7,7,8,'Developer','Role for development purposes.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""developer"": true}'",NULL,NULL,'192.168.0.13','192.168.0.14','Mobile','Mobile',20,"'{""session_id"": ""jkl012"", ""last_login"": ""2024-03-06 16:00:00""}'"
8,8,9,'Tester2','Role for secondary testing purposes.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""tester2"": true}'",NULL,NULL,'192.168.0.15','192.168.0.16','Desktop','Desktop',9,"'{""session_id"": ""mno345"", ""last_login"": ""2024-03-06 17:00:00""}'"
9,9,10,'Editor','Role for editing content.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""editor"": true}'",NULL,NULL,'192.168.0.17','192.168.0.18','Laptop','Laptop',18,"'{""session_id"": ""pqr678"", ""last_login"": ""2024-03-06 18:00:00""}'"
10,10,11,'Guest2','Secondary guest role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""guest2"": true}'",NULL,NULL,'192.168.0.19','192.168.0.20','Mobile','Mobile',6,"'{""session_id"": ""stu901"", ""last_login"": ""2024-03-06 19:00:00""}'"
11,11,12,'Viewer2','Secondary viewer role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""viewer2"": true}'",NULL,NULL,'192.168.0.21','192.168.0.22','Desktop','Desktop',11,"'{""session_id"": ""vwx234"", ""last_login"": ""2024-03-06 20:00:00""}'"
12,12,13,'Manager','Managerial role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""manager"": true}'",NULL,NULL,'192.168.0.23','192.168.0.24','Laptop','Laptop',16,"'{""session_id"": ""yz012"", ""last_login"": ""2024-03-06 21:00:00""}'"
13,13,14,'Director','Role for directors.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""director"": true}'",NULL,NULL,'192.168.0.25','192.168.0.26','Mobile','Mobile',22,"'{""session_id"": ""abc345"", ""last_login"": ""2024-03-06 22:00:00""}'"
14,14,15,'Consultant','Consultant role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""consultant"": true}'",NULL,NULL,'192.168.0.27','192.168.0.28','Desktop','Desktop',13,"'{""session_id"": ""def678"", ""last_login"": ""2024-03-06 23:00:00""}'"
15,15,16,'Analyst','Role for analysts.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""analyst"": true}'",NULL,NULL,'192.168.0.29','192.168.0.30','Laptop','Laptop',17,"'{""session_id"": ""ghi901"", ""last_login"": ""2024-03-06 23:30:00""}'"
16,16,17,'Tester3','Third testing role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""tester3"": true}'",NULL,NULL,'192.168.0.31','192.168.0.32','Mobile','Mobile',8,"'{""session_id"": ""jkl234"", ""last_login"": ""2024-03-07 00:00:00""}'"
17,17,18,'Developer2','Secondary developer role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""developer2"": true}'",NULL,NULL,'192.168.0.33','192.168.0.34','Desktop','Desktop',19,"'{""session_id"": ""mno567"", ""last_login"": ""2024-03-07 01:00:00""}'"
18,18,19,'Manager2','Secondary managerial role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""manager2"": true}'",NULL,NULL,'192.168.0.35','192.168.0.36','Laptop','Laptop',14,"'{""session_id"": ""pqr890"", ""last_login"": ""2024-03-07 02:00:00""}'"
19,19,20,'Director2','Secondary director role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""director2"": true}'",NULL,NULL,'192.168.0.37','192.168.0.38','Mobile','Mobile',23,"'{""session_id"": ""stu123"", ""last_login"": ""2024-03-07 03:00:00""}'"
20,20,1,'Consultant2','Secondary consultant role.','2024-04-03 12:25:02.677375',NULL,false,true,"'{""consultant2"": true}'",NULL,NULL,'192.168.0.39','192.168.0.40','Desktop','Desktop',10,"'{""session_id"": ""vwx456"", ""last_login"": ""2024-03-07 04:00:00""}'"
