1,1,2,1,'2024-04-03 12:25:02.677375',1,'You are invited to join our discussion group.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.0.1','192.168.0.2','Desktop','Mobile','{}'
2,3,4,2,'2024-04-03 12:25:02.677375',1,'Join our group and connect with like-minded individuals!',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'10.0.0.1','10.0.0.2','Laptop','Tablet','{}'
3,5,6,3,'2024-04-03 12:25:02.677375',1,'We would love to have you in our community!',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'172.16.0.1','172.16.0.2','Desktop','Mobile','{}'
4,7,8,4,'2024-04-03 12:25:02.677375',1,'Become part of our team and share your thoughts.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.1','192.168.1.2','Laptop','Tablet','{}'
5,9,10,5,'2024-04-03 12:25:02.677375',1,'You are invited to our weekly meeting.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'10.1.1.1','10.1.1.2','Desktop','Mobile','{}'
6,11,12,6,'2024-04-03 12:25:02.677375',1,'Join us for a lively debate!',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'172.16.0.2','172.16.0.3','Laptop','Tablet','{}'
7,13,14,7,'2024-04-03 12:25:02.677375',1,'Connect with industry professionals in our group.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.2.1','192.168.2.2','Desktop','Mobile','{}'
8,15,16,8,'2024-04-03 12:25:02.677375',1,'We want you to be part of our community.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'10.2.2.2','10.2.2.3','Laptop','Tablet','{}'
9,17,18,9,'2024-04-03 12:25:02.677375',1,'Join our exclusive club!',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'172.16.0.3','172.16.0.4','Desktop','Mobile','{}'
10,19,20,10,'2024-04-03 12:25:02.677375',1,'Invitation to our virtual event.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.3.1','192.168.3.2','Desktop','Mobile','{}'
11,2,1,11,'2024-04-03 12:25:02.677375',1,'Join our group and make new friends!',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'10.3.3.1','10.3.3.2','Laptop','Tablet','{}'
12,4,3,12,'2024-04-03 12:25:02.677375',1,'We would like you to join our discussion.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'172.16.0.4','172.16.0.5','Desktop','Mobile','{}'
13,6,5,13,'2024-04-03 12:25:02.677375',1,'Join our community and share your experiences.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.4.1','192.168.4.2','Laptop','Tablet','{}'
14,8,7,14,'2024-04-03 12:25:02.677375',1,'You are invited to our study group.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'10.4.4.1','10.4.4.2','Desktop','Mobile','{}'
15,10,9,15,'2024-04-03 12:25:02.677375',1,'Join our book club and discuss your favorite reads.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'172.16.0.5','172.16.0.6','Laptop','Tablet','{}'
16,12,11,16,'2024-04-03 12:25:02.677375',1,'Invitation to our weekly seminar.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.5.1','192.168.5.2','Desktop','Mobile','{}'
17,14,13,17,'2024-04-03 12:25:02.677375',1,'Connect with other creatives in our group.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'10.5.5.1','10.5.5.2','Laptop','Tablet','{}'
18,16,15,18,'2024-04-03 12:25:02.677375',1,'You are invited to our art workshop.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'172.16.0.6','172.16.0.7','Desktop','Mobile','{}'
19,18,17,19,'2024-04-03 12:25:02.677375',1,'Join our fitness challenge!',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.6.1','192.168.6.2','Laptop','Tablet','{}'
20,20,19,20,'2024-04-03 12:25:02.677375',1,'Invitation to our cooking class.',false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'10.6.6.1','10.6.6.2','Desktop','Mobile','{}'
