table_name,checksum
tbl_agent,6b34a9cf9106e14febfb4afea6a8424a
tbl_agent_user_association,dcaf8389ade0bd4378840a4541b9a9ed
tbl_assets,eaa687d8d8d9abe4fa22571d561bed58
tbl_bank,0fbe338de5ee4f71746994fde3153d86
tbl_comm_funds,4d8ced3c9330d2c82f0d78bd9e5cc788
tbl_comm_funds_x_user,8c31b14fbee94f55b01a1bcdb988e795
tbl_currency,57329c5976aee6635195fb6996b491b2
tbl_currency_exchange,481ff5f038f0b2c2bcf17c0e76bf5069
tbl_currency_exchange_x_user,3c073f2e7c353aab59db9b469a54edcb
tbl_expenses,1836bf4fcb837137305c4a63c7a3c746
tbl_income,ce9607da07856c00a9a88f06399a0a91
tbl_liabilities,8bf5200b6ac42fe73fd1c54b85f0548a
tbl_liability,100cde7e0b9756b2c6268fabf9e10235
tbl_login,b68c05fcd5983c81b0bb91804de72b8b
tbl_payment_method,605c3950a75dbb2a324a0545c6b32e4d
tbl_reports,d00c1e9429aea9db83a022531956dc54
tbl_transaction_history,889f29e202dc68c7350014c92107ed39
tbl_user,2f60d56d35edbe05402c38b4a5cd90a1
tbl_user_settings,5aa623161b998d245c92f8a55874d46b
tbl_wallet,e55195f06424d9637dfacc2facff16d2
tbl_watchlist,fc21befb4c2dcfb605f2314876604f16
tables,0c9cff4b361df738688dd67cfc410c59
columns,d4d934c21de148adc35e7154e9a3f11a
primary_keys,60ad3f6cf029bd58fc1469747c598586
foreign_keys,eb5b0796b34201035540caedf68de390
indexes,7c00d76ac0931ba49c9ee1e081e1057f
