1,3536251,25582,'Monthly',1000.00,'2023-01-01','2022-12-30'
2,3536251,25583,'Monthly',500.00,'2023-01-01','2022-12-30'
3,3536252,25582,'Monthly',1200.00,'2023-01-01','2022-12-30'
4,3536252,25584,'Monthly',300.00,'2023-01-01','2022-12-30'
5,3536253,25583,'Monthly',600.00,'2023-01-01','2022-12-30'
6,3536253,25585,'Monthly',200.00,'2023-01-01','2022-12-30'
7,3536254,25582,'Monthly',1100.00,'2023-01-01','2022-12-30'
8,3536254,25586,'Monthly',400.00,'2023-01-01','2022-12-30'
9,3536255,25582,'Monthly',1000.00,'2023-01-01','2022-12-30'
10,3536255,25587,'Monthly',700.00,'2023-01-01','2022-12-30'
11,3536256,25582,'Monthly',1200.00,'2023-01-01','2022-12-30'
12,3536256,25588,'Monthly',250.00,'2023-01-01','2022-12-30'
13,3536257,25583,'Monthly',800.00,'2023-01-01','2022-12-30'
14,3536257,25589,'Monthly',300.00,'2023-01-01','2022-12-30'
15,3536258,25582,'Monthly',1100.00,'2023-01-01','2022-12-30'
16,3536258,25590,'Monthly',500.00,'2023-01-01','2022-12-30'
17,3536259,25583,'Monthly',1000.00,'2023-01-01','2022-12-30'
18,3536259,25591,'Monthly',200.00,'2023-01-01','2022-12-30'
19,3536260,25582,'Monthly',1200.00,'2023-01-01','2022-12-30'
20,3536260,25592,'Monthly',150.00,'2023-01-01','2022-12-30'
