1,3536251,60000.00,'2023-01-01',NULL,'USD','Monthly',5000.00,10000.00,2000.00,57000.00,'Active'
2,3536252,70000.00,'2023-02-01',NULL,'USD','Bi-weekly',6000.00,12000.00,2500.00,64000.00,'Active'
3,3536253,75000.00,'2023-03-01',NULL,'USD','Monthly',7000.00,13000.00,3000.00,69000.00,'Active'
4,3536254,55000.00,'2023-04-01',NULL,'USD','Bi-weekly',4000.00,9000.00,1800.00,50700.00,'Active'
5,3536255,65000.00,'2023-05-01',NULL,'USD','Monthly',5500.00,11000.00,2200.00,60000.00,'Active'
6,3536256,60000.00,'2023-06-01',NULL,'USD','Bi-weekly',5000.00,10000.00,2000.00,57000.00,'Active'
7,3536257,80000.00,'2023-07-01',NULL,'USD','Monthly',7500.00,14000.00,3500.00,74500.00,'Active'
8,3536258,70000.00,'2023-08-01',NULL,'USD','Bi-weekly',6000.00,12000.00,2500.00,64000.00,'Active'
9,3536259,85000.00,'2023-09-01',NULL,'USD','Monthly',8000.00,15000.00,4000.00,80000.00,'Active'
10,3536260,60000.00,'2023-10-01',NULL,'USD','Bi-weekly',5000.00,10000.00,2000.00,57000.00,'Active'
11,3536261,75000.00,'2023-11-01',NULL,'USD','Monthly',7000.00,13000.00,3000.00,69000.00,'Active'
12,3536262,65000.00,'2023-12-01',NULL,'USD','Bi-weekly',5500.00,11000.00,2200.00,60000.00,'Active'
13,3536263,70000.00,'2024-01-01',NULL,'USD','Monthly',6000.00,12000.00,2500.00,64000.00,'Active'
14,3536264,80000.00,'2024-02-01',NULL,'USD','Bi-weekly',7500.00,14000.00,3500.00,74500.00,'Active'
15,3536265,90000.00,'2024-03-01',NULL,'USD','Monthly',8000.00,15000.00,4000.00,80000.00,'Active'
16,3536266,70000.00,'2024-04-01',NULL,'USD','Bi-weekly',6000.00,12000.00,2500.00,64000.00,'Active'
17,3536267,75000.00,'2024-05-01',NULL,'USD','Monthly',7000.00,13000.00,3000.00,69000.00,'Active'
18,3536268,65000.00,'2024-06-01',NULL,'USD','Bi-weekly',5500.00,11000.00,2200.00,60000.00,'Active'
19,3536269,70000.00,'2024-07-01',NULL,'USD','Monthly',6000.00,12000.00,2500.00,64000.00,'Active'
20,3536270,80000.00,'2024-08-01',NULL,'USD','Bi-weekly',7500.00,14000.00,3500.00,74500.00,'Active'
