1,3536251,'Client Meeting',"'New York, NY'",'2023-05-10','2023-05-12',1200.50
2,3536252,'Conference',"'San Francisco, CA'",'2023-06-15','2023-06-18',1800.75
3,3536253,'Training',"'Chicago, IL'",'2023-07-20','2023-07-23',1500.00
4,3536254,'Business Trip',"'Los Angeles, CA'",'2023-08-10','2023-08-13',2000.25
5,3536255,'Client Visit',"'Houston, TX'",'2023-09-05','2023-09-08',1600.30
6,3536256,'Project Kickoff',"'Seattle, WA'",'2023-10-12','2023-10-15',1900.80
7,3536257,'Workshop',"'Boston, MA'",'2023-11-18','2023-11-21',1700.65
8,3536258,'Client Presentation',"'Miami, FL'",'2023-12-07','2023-12-10',2200.00
9,3536259,'Vendor Meeting',"'Dallas, TX'",'2024-01-20','2024-01-23',2100.50
10,3536260,'Project Review',"'Atlanta, GA'",'2024-02-14','2024-02-17',2400.75
11,3536251,'Client Meeting',"'Chicago, IL'",'2024-03-05','2024-03-08',1300.25
12,3536252,'Conference',"'Las Vegas, NV'",'2024-04-18','2024-04-21',1700.50
13,3536253,'Training',"'San Diego, CA'",'2024-05-12','2024-05-15',1600.75
14,3536254,'Business Trip',"'Phoenix, AZ'",'2024-06-20','2024-06-23',1800.00
15,3536255,'Client Visit',"'Denver, CO'",'2024-07-08','2024-07-11',1900.80
16,3536256,'Project Kickoff',"'Portland, OR'",'2024-08-14','2024-08-17',2000.25
17,3536257,'Workshop',"'Austin, TX'",'2024-09-10','2024-09-13',2100.30
18,3536258,'Client Presentation',"'Nashville, TN'",'2024-10-05','2024-10-08',2200.75
19,3536259,'Vendor Meeting',"'Salt Lake City, UT'",'2024-11-18','2024-11-21',2300.50
20,3536260,'Project Review',"'Orlando, FL'",'2024-12-20','2024-12-23',2500.00
