'2023-01-01','Sunday','New Year''s Day','USA','New York','Project A'
'2023-01-15','Sunday','Martin Luther King Jr. Day','USA','Los Angeles','Project B'
'2023-02-14','Tuesday','Valentine''s Day','USA','Chicago','Project C'
'2023-03-17','Friday','St. Patrick''s Day','USA','Houston','Project D'
'2023-04-01','Saturday','Easter Sunday','USA','San Francisco','Project A'
'2023-05-29','Monday','Memorial Day','USA','New York','Project B'
'2023-07-04','Tuesday','Independence Day','USA','Los Angeles','Project C'
'2023-09-04','Monday','Labor Day','USA','Chicago','Project D'
'2023-10-31','Tuesday','Halloween','USA','Houston','Project A'
'2023-11-23','Thursday','Thanksgiving Day','USA','San Francisco','Project B'
'2023-12-25','Monday','Christmas Day','USA','New York','Project C'
'2024-01-01','Monday','New Year''s Day','USA','Los Angeles','Project D'
'2024-01-15','Monday','Martin Luther King Jr. Day','USA','Chicago','Project A'
'2024-02-14','Wednesday','Valentine''s Day','USA','Houston','Project B'
'2024-03-17','Sunday','St. Patrick''s Day','USA','San Francisco','Project C'
'2024-04-01','Monday','Easter Sunday','USA','New York','Project D'
'2024-05-27','Monday','Memorial Day','USA','Los Angeles','Project A'
'2024-07-04','Thursday','Independence Day','USA','Chicago','Project B'
'2024-09-02','Monday','Labor Day','USA','Houston','Project C'
'2024-10-31','Thursday','Halloween','USA','San Francisco','Project D'
'2024-11-28','Thursday','Thanksgiving Day','USA','New York','Project A'
'2024-12-25','Wednesday','Christmas Day','USA','Los Angeles','Project B'
'2025-01-01','Wednesday','New Year''s Day','USA','Chicago','Project C'
'2025-01-20','Monday','Martin Luther King Jr. Day','USA','Houston','Project D'
'2025-02-14','Friday','Valentine''s Day','USA','San Francisco','Project A'
'2025-03-17','Monday','St. Patrick''s Day','USA','New York','Project B'
'2025-04-20','Sunday','Easter Sunday','USA','Los Angeles','Project C'
'2025-05-26','Monday','Memorial Day','USA','Chicago','Project D'
'2025-07-04','Friday','Independence Day','USA','Houston','Project A'
