1,3536251,'Annual Leave','2023-01-01','2023-01-05','Approved',5.00,'Vacation','2023-01-01',NULL,'Enjoy your vacation!',NULL,3536251
2,3536252,'Sick Leave','2023-02-10','2023-02-12','Pending',3.00,'Illness',NULL,NULL,'Feeling unwell',NULL,NULL
3,3536253,'Maternity Leave','2023-03-15','2023-05-15','Approved',60.00,'Maternity','2023-03-10',NULL,'Excited for the new arrival!',NULL,3536251
4,3536254,'Annual Leave','2023-04-20','2023-04-22','Rejected',3.00,'Vacation',NULL,'2023-04-15','Leave request denied',NULL,3536251
5,3536255,'Personal Leave','2023-05-01','2023-05-02','Approved',2.00,'Personal reasons','2023-04-30',NULL,'Taking care of personal matters',NULL,3536251
6,3536256,'Annual Leave','2023-06-10','2023-06-14','Pending',5.00,'Vacation',NULL,NULL,'Planning a trip',NULL,NULL
7,3536257,'Sick Leave','2023-07-05','2023-07-06','Approved',2.00,'Illness','2023-07-05',NULL,'Recovering from flu',NULL,3536269
8,3536258,'Annual Leave','2023-08-15','2023-08-20','Pending',6.00,'Vacation',NULL,NULL,'Need a break',NULL,NULL
9,3536259,'Sick Leave','2023-09-25','2023-09-27','Approved',3.00,'Illness','2023-09-25',NULL,'Taking sick leave',NULL,3536269
10,3536260,'Annual Leave','2023-10-10','2023-10-15','Approved',6.00,'Vacation','2023-09-30',NULL,'Going on a trip',NULL,3536269
11,3536261,'Personal Leave','2023-11-05','2023-11-06','Pending',2.00,'Personal reasons',NULL,NULL,'Attending family event',NULL,NULL
12,3536262,'Maternity Leave','2023-12-20','2024-02-20','Approved',60.00,'Maternity','2023-12-15',NULL,'Expecting a baby',NULL,3536269
13,3536263,'Sick Leave','2024-01-10','2024-01-11','Rejected',2.00,'Illness',NULL,'2024-01-09','Leave request denied',NULL,3536269
14,3536264,'Annual Leave','2024-02-15','2024-02-17','Approved',3.00,'Vacation','2024-02-10',NULL,'Taking a short vacation',NULL,3536254
15,3536265,'Personal Leave','2024-03-20','2024-03-21','Pending',2.00,'Personal reasons',NULL,NULL,'Attending an event',NULL,NULL
16,3536266,'Annual Leave','2024-04-05','2024-04-08','Approved',4.00,'Vacation','2024-03-30',NULL,'Planning a trip',NULL,3536254
17,3536267,'Sick Leave','2024-05-10','2024-05-12','Pending',3.00,'Illness',NULL,NULL,'Feeling unwell',NULL,NULL
18,3536268,'Annual Leave','2024-06-15','2024-06-20','Approved',6.00,'Vacation','2024-06-10',NULL,'Taking a break',NULL,3536254
19,3536269,'Personal Leave','2024-07-20','2024-07-21','Approved',2.00,'Personal reasons','2024-07-15',NULL,'Personal matters',NULL,3536254
20,3536270,'Sick Leave','2024-08-05','2024-08-06','Pending',2.00,'Illness',NULL,NULL,'Not feeling well',NULL,NULL
