1,5,'2023-10-07 11:13:10.395737','2023-12-07 23:29:28.210956','2024-02-14 04:24:05.16762','United Parcel Service (UPS)','0342184202',22.51,'Free Shipping',53,75
2,42,'2021-08-11 20:13:35.450491','2024-01-20 02:15:43.941057','2024-01-21 09:06:18.449795','United States Postal Service (USPS)','4187171804',13.95,'Expedited Shipping',70,2
3,91,'2015-02-14 16:14:30.95406','2023-09-03 10:42:02.996839','2024-01-07 10:33:14.389582','DHL Express','0576529135',5.68,'Priority Shipping',5,18
4,51,'2021-09-08 18:19:18.715942','2023-04-21 15:25:17.525005','2023-05-21 03:16:26.994318','United States Postal Service (USPS)','6337599468',19.92,'Pickup In Store',39,76
5,57,'2020-10-17 10:20:32.875573','2022-10-01 20:11:50.728663','2022-10-04 01:02:19.013397','United Parcel Service (UPS)','9092646169',27.73,'Free Shipping',66,78
6,6,'2019-11-23 05:10:08.990796','2022-11-30 19:09:37.574508','2023-02-09 19:03:43.064166','DHL Express','9330074903',7.78,'Pickup In Store',74,52
7,25,'2022-03-09 19:54:43.346316','2022-10-30 06:04:15.233589','2023-06-29 21:56:27.063999','DHL Express','6632331480',7.61,'Free Shipping',83,79
8,46,'2019-08-22 10:52:21.230942','2020-03-23 08:26:27.667297','2021-08-11 07:22:21.598974','Amazon Logistics','1454602816',10.33,'Expedited Shipping',6,56
9,27,'2021-07-12 14:16:08.593224','2022-03-18 21:02:32.651905','2023-01-05 08:31:37.561222','DHL Express','6386398471',12.72,'Pickup In Store',69,53
10,70,'2019-05-08 10:25:09.805989','2023-03-28 00:00:22.552431','2023-10-03 05:12:36.080249','Amazon Logistics','3047466276',15.79,'Expedited Shipping',43,14
11,47,'2017-01-05 21:40:34.436334','2022-03-03 09:48:30.287251','2023-06-10 09:39:30.728562','United Parcel Service (UPS)','6335922079',27.63,'Priority Shipping',25,2
12,80,'2017-09-07 14:58:14.054617','2023-05-22 17:40:50.422009','2023-06-12 09:23:31.673085','United States Postal Service (USPS)','3202458109',15.97,'Same-Day Delivery',62,4
13,79,'2015-05-02 19:27:18.956614','2022-08-06 10:55:57.59136','2023-01-19 02:57:24.271227','DHL Express','9496612288',5.63,'Standard Shipping',39,57
14,81,'2016-06-15 16:21:28.454395','2023-12-08 08:48:40.071579','2024-01-18 10:05:10.854843','DHL Express','0673862241',10.73,'Pickup In Store',29,55
15,33,'2017-10-27 11:58:11.041409','2018-07-03 14:06:52.934615','2022-02-27 08:46:20.936775','Amazon Logistics','9320220209',18.37,'Expedited Shipping',25,63
16,100,'2021-02-05 03:52:16.958397','2024-01-11 07:48:58.538349','2024-02-04 10:23:50.730707','FedEx Corporation','1399190841',6.86,'Pickup In Store',73,9
17,99,'2016-11-20 09:28:06.587755','2022-06-09 07:34:13.962699','2022-09-06 20:45:15.842319','United States Postal Service (USPS)','3493867832',25.09,'Same-Day Delivery',26,41
18,100,'2021-05-10 09:14:45.152312','2022-05-17 00:21:08.638013','2022-07-26 05:23:42.626899','Amazon Logistics','4706075015',10.15,'Free Shipping',76,26
19,65,'2020-05-29 07:19:19.384778','2022-08-27 20:46:59.888412','2023-03-26 15:36:43.390157','DHL Express','2723875233',14.41,'Pickup In Store',99,14
20,56,'2016-01-05 11:29:10.849331','2020-03-02 12:10:00.251801','2022-07-07 20:04:16.60033','United Parcel Service (UPS)','6685266232',7.17,'Pickup In Store',99,76
21,88,'2021-04-12 17:58:53.922063','2023-06-01 19:26:37.957986','2023-08-15 09:08:23.335074','DHL Express','0250715876',12.70,'Standard Shipping',10,40
22,47,'2023-07-15 08:03:15.609545','2024-01-07 12:57:08.401396','2024-02-05 00:27:23.480225','Amazon Logistics','6276671999',19.59,'Expedited Shipping',66,92
23,35,'2015-11-13 08:15:17.255994','2018-09-29 19:03:54.687642','2020-01-01 15:40:23.743559','Amazon Logistics','4193981156',17.89,'Free Shipping',52,63
24,88,'2017-08-14 23:28:49.728757','2020-06-22 10:59:22.731774','2023-12-10 20:07:21.580487','United States Postal Service (USPS)','1971079544',8.25,'Pickup In Store',76,85
25,31,'2023-12-28 09:01:10.238833','2024-01-15 12:51:13.724998','2024-01-18 01:38:37.927597','Amazon Logistics','0385549723',16.63,'Priority Shipping',81,5
26,30,'2018-10-06 09:04:56.178126','2020-05-22 03:31:25.338897','2022-10-13 15:48:43.270302','FedEx Corporation','1017020879',16.83,'Standard Shipping',22,42
27,4,'2022-12-03 12:55:32.259392','2023-06-03 01:49:33.594758','2024-01-21 10:25:24.710863','United States Postal Service (USPS)','3235207584',22.57,'Standard Shipping',63,66
28,81,'2021-06-07 11:40:08.023791','2021-10-02 13:49:01.102218','2023-11-14 03:50:37.372815','FedEx Corporation','0885559535',8.33,'Pickup In Store',72,5
29,30,'2023-12-06 02:55:08.63432','2024-02-16 07:29:29.31429','2024-02-16 09:40:16.65146','United States Postal Service (USPS)','9045234288',10.96,'Standard Shipping',98,51
