1,14,43,5,'2014-08-05 04:20:08.635175'
2,43,14,7,'2021-10-21 05:58:57.613528'
3,11,46,3,'2016-05-30 01:12:26.287795'
4,86,67,9,'2017-03-24 09:24:47.719442'
5,67,36,7,'2015-01-04 10:24:12.245023'
6,99,84,10,'2021-07-25 21:21:03.467206'
7,16,40,10,'2017-07-31 16:56:29.923313'
8,68,89,7,'2017-03-12 09:50:49.685019'
9,53,64,3,'2014-12-07 14:43:58.422987'
10,97,79,10,'2022-09-15 17:28:11.106841'
11,85,39,1,'2016-01-11 15:12:55.194326'
12,9,87,4,'2016-06-30 21:36:24.994297'
13,80,41,7,'2019-05-25 00:17:42.840183'
14,41,33,10,'2019-01-11 19:16:10.145222'
15,40,27,1,'2014-06-02 19:44:12.391546'
16,43,41,10,'2016-04-18 11:45:24.238178'
17,39,27,8,'2016-01-11 04:53:39.829834'
18,97,56,3,'2023-05-02 09:13:29.277821'
19,71,54,10,'2023-12-18 16:15:40.912732'
20,9,15,1,'2017-09-17 14:28:20.852588'
21,90,16,9,'2024-01-10 21:31:05.486714'
22,12,100,4,'2018-05-09 11:08:51.511329'
23,16,49,3,'2018-11-24 18:38:25.617751'
24,70,6,3,'2023-09-10 13:26:14.100162'
25,44,90,2,'2015-02-12 20:55:30.645332'
26,63,37,1,'2017-11-09 23:01:29.284342'
27,46,92,7,'2019-12-22 22:46:37.453471'
28,75,86,8,'2021-12-02 09:16:26.71511'
29,71,20,7,'2022-07-15 19:54:29.832628'
30,40,46,8,'2021-07-08 22:42:51.826569'
31,100,23,3,'2021-12-14 01:20:02.079001'
32,43,51,7,'2014-10-11 02:29:14.479283'
33,8,29,5,'2023-10-15 23:45:24.360477'
34,59,10,4,'2023-10-20 21:18:07.910739'
35,41,49,8,'2018-10-24 00:03:28.244344'
36,45,70,10,'2022-01-19 14:53:47.124734'
37,66,11,8,'2021-10-20 19:00:29.803128'
38,19,7,10,'2019-05-04 13:34:17.876399'
39,1,56,4,'2018-10-05 08:20:28.174967'
40,99,57,1,'2019-10-11 12:40:35.503096'
41,55,81,10,'2015-04-19 16:00:27.580685'
42,52,91,5,'2016-08-08 04:57:03.397727'
43,78,5,4,'2015-04-23 13:00:23.123086'
44,86,72,10,'2020-03-19 01:24:40.188127'
45,52,66,10,'2016-05-26 16:20:58.278898'
46,62,26,2,'2015-04-23 17:05:20.997983'
47,17,4,8,'2021-05-26 19:15:30.072748'
48,49,82,1,'2023-12-06 08:56:28.185812'
49,64,63,4,'2019-12-27 12:06:46.352735'
50,99,21,8,'2021-10-09 06:39:29.539711'
51,79,56,2,'2020-01-30 22:38:26.120708'
52,28,31,9,'2017-03-23 07:51:41.587982'
53,64,4,2,'2020-05-03 09:05:47.984723'
54,77,62,10,'2022-04-23 17:48:49.813654'
55,13,83,10,'2019-11-24 22:58:58.522145'
56,36,89,5,'2019-07-26 13:42:09.63292'
57,45,84,9,'2019-05-11 23:20:33.209741'
58,80,17,3,'2016-07-09 18:24:44.467007'
59,17,36,10,'2014-10-02 22:51:03.117374'
60,71,6,3,'2015-08-13 10:48:34.245119'
61,75,98,6,'2018-08-23 03:15:54.781272'
62,6,31,5,'2019-11-12 18:27:24.988537'
63,18,69,9,'2020-06-18 20:17:40.343342'
64,11,53,2,'2024-01-26 20:12:56.228566'
65,77,23,5,'2019-05-16 01:15:37.490848'
66,18,26,10,'2014-08-25 08:51:17.677847'
67,47,51,6,'2023-05-30 04:40:06.037836'
68,92,61,8,'2020-10-28 14:50:15.791925'
69,77,24,10,'2018-01-27 05:24:54.672988'
70,12,39,2,'2016-07-25 07:12:24.640219'
71,71,30,2,'2016-12-14 14:08:05.052894'
72,60,56,6,'2014-07-15 10:28:43.730482'
73,24,91,2,'2022-03-04 06:06:52.136009'
74,49,56,7,'2021-09-22 10:31:49.026369'
75,97,69,1,'2020-05-27 07:56:18.597727'
76,94,75,6,'2020-11-04 10:39:09.008852'
77,33,40,6,'2021-12-08 05:09:15.976997'
78,85,43,6,'2022-08-15 19:35:39.236728'
79,60,23,10,'2020-07-31 02:05:35.924244'
80,8,75,4,'2017-02-12 19:56:14.252118'
81,99,96,6,'2023-07-08 13:12:08.324595'
82,37,74,4,'2017-09-01 05:15:58.309673'
83,26,78,9,'2020-04-24 04:55:49.951126'
84,59,100,5,'2016-03-06 23:46:08.258256'
85,24,74,5,'2020-04-13 03:11:45.958303'
86,94,82,4,'2017-02-17 19:14:30.742413'
87,3,97,5,'2015-02-16 06:04:51.811572'
88,78,67,7,'2023-12-17 04:05:50.122011'
89,39,82,3,'2017-01-01 08:15:11.88124'
90,6,55,2,'2019-12-08 17:41:54.695898'
91,1,27,6,'2019-01-21 02:10:43.353873'
92,83,56,2,'2019-01-20 15:29:12.476435'
93,87,77,3,'2018-02-26 11:48:57.038672'
94,85,22,3,'2021-11-22 00:14:46.179245'
95,51,70,4,'2023-07-29 08:53:41.531915'
96,98,88,6,'2017-10-24 11:08:03.495727'
97,3,86,3,'2019-02-10 06:23:49.555171'
98,11,52,3,'2023-12-21 01:41:30.084105'
99,22,29,10,'2021-11-06 02:54:09.908901'
100,5,98,8,'2019-03-17 16:34:00.005918'
