1,79,5,'2019-02-12 16:20:33.749136'
2,2,15,'2016-12-24 15:23:06.154681'
3,38,13,'2018-02-26 04:30:15.949412'
4,72,13,'2019-03-26 10:51:57.145161'
5,88,9,'2019-11-02 18:54:13.00376'
6,1,6,'2015-01-10 07:30:01.401585'
7,63,11,'2014-12-09 04:43:15.263416'
8,22,3,'2016-12-29 07:32:39.057221'
9,4,9,'2019-02-18 05:55:47.691411'
10,84,2,'2017-08-19 19:46:16.51241'
11,42,1,'2023-10-30 03:15:00.981725'
12,39,5,'2024-01-04 11:14:41.849776'
13,48,11,'2017-06-12 19:29:49.418567'
14,97,10,'2020-07-15 09:35:21.582366'
15,94,15,'2019-09-25 02:55:20.376352'
16,81,5,'2017-05-08 22:38:05.609922'
17,92,11,'2014-03-05 12:41:43.734482'
18,43,3,'2014-05-15 06:13:35.921454'
19,51,7,'2015-02-20 01:53:26.701399'
20,27,1,'2019-10-06 01:39:29.876051'
21,66,8,'2016-06-21 09:31:22.234143'
22,57,5,'2021-06-27 19:02:23.899945'
23,46,10,'2016-10-19 06:17:06.400256'
24,20,5,'2022-03-13 22:54:20.457614'
25,3,5,'2018-11-30 17:51:09.049349'
26,60,6,'2023-01-04 00:06:43.411551'
27,86,12,'2023-04-13 21:22:34.240819'
28,5,4,'2022-10-08 08:20:35.257565'
29,94,3,'2020-09-05 18:36:09.270328'
30,33,6,'2021-05-25 01:25:06.932845'
31,43,8,'2017-04-03 17:41:59.941728'
32,49,1,'2024-01-24 09:43:39.491797'
33,66,15,'2024-02-03 15:10:48.76894'
34,24,4,'2014-04-30 04:02:20.884816'
35,99,15,'2023-02-26 01:03:26.640645'
36,9,12,'2022-01-31 10:48:48.611983'
37,48,13,'2021-12-19 19:24:35.566808'
38,48,4,'2022-04-22 03:09:29.705221'
39,91,4,'2014-12-08 19:43:22.231587'
40,15,7,'2022-10-12 13:55:33.008985'
41,22,11,'2020-01-11 03:06:34.786397'
42,47,14,'2014-10-07 04:42:36.672288'
43,69,15,'2014-11-27 23:34:47.475206'
44,12,11,'2015-10-24 12:12:22.333792'
45,95,9,'2020-05-04 23:08:43.32667'
46,60,4,'2019-04-07 07:41:28.656437'
47,30,11,'2016-03-12 01:35:31.983269'
48,85,12,'2020-04-30 04:54:14.814129'
49,48,15,'2018-09-08 11:01:13.081641'
50,58,1,'2017-11-13 05:08:47.154374'
51,56,9,'2021-06-23 06:11:41.119163'
52,99,11,'2022-12-08 14:30:17.887549'
53,61,4,'2018-02-17 06:41:03.389163'
54,53,8,'2017-05-14 10:18:58.010061'
55,97,8,'2015-11-10 13:59:06.114256'
56,86,8,'2015-06-20 10:08:44.505383'
57,17,14,'2015-11-24 07:27:01.002011'
58,94,11,'2014-07-13 18:18:49.925553'
59,87,6,'2015-08-12 02:03:26.092875'
60,11,8,'2018-06-20 16:56:11.096051'
61,36,9,'2017-07-10 07:22:34.040634'
62,14,6,'2021-07-16 18:44:41.099018'
63,26,5,'2018-12-04 21:32:07.979331'
64,66,13,'2015-06-11 13:30:27.052845'
65,56,1,'2018-11-06 06:24:10.07335'
66,53,3,'2018-10-15 11:21:18.245334'
67,100,8,'2014-10-27 09:10:28.6438'
68,41,15,'2017-11-11 03:52:14.208937'
69,35,15,'2016-03-31 03:16:38.047789'
70,83,5,'2022-04-06 13:33:11.337182'
71,85,14,'2023-04-28 14:09:30.121348'
72,23,10,'2023-06-03 09:23:55.665384'
73,35,13,'2018-07-24 07:44:27.399851'
74,74,8,'2021-04-27 15:27:46.792497'
75,5,8,'2015-09-18 12:24:24.171323'
76,81,7,'2014-09-15 13:48:36.889263'
77,66,1,'2021-11-18 05:09:25.280022'
78,21,9,'2021-02-08 19:34:13.989509'
79,70,4,'2019-09-25 13:10:51.199995'
80,71,10,'2014-11-22 18:24:53.997422'
81,90,15,'2023-03-28 02:44:16.635057'
82,58,3,'2021-05-28 19:57:54.03128'
83,11,10,'2018-06-17 14:57:27.000026'
84,58,12,'2019-10-20 18:33:52.259642'
85,7,14,'2016-04-06 07:37:07.208975'
86,77,15,'2019-06-12 21:09:36.402045'
87,32,11,'2021-06-30 07:51:41.548023'
88,97,15,'2017-07-18 11:26:36.146814'
89,100,5,'2022-02-27 02:27:35.346908'
90,46,15,'2021-07-29 03:50:33.998405'
91,99,9,'2016-07-15 18:50:02.022874'
92,88,3,'2021-07-31 02:22:16.113801'
93,16,11,'2019-06-18 07:33:45.95431'
94,69,9,'2020-12-02 18:20:57.993436'
95,9,15,'2019-10-15 14:42:51.960018'
96,2,13,'2022-12-18 19:45:34.173262'
97,96,6,'2020-02-09 06:57:04.333379'
98,91,6,'2016-06-25 20:40:34.976261'
99,87,4,'2019-01-22 13:32:27.391333'
100,26,7,'2017-05-26 01:28:37.379683'
