1,68,'2014-10-17 22:18:37.67141',149.00,'Processing','PayPal','Priority Shipping',100,70,true,false,true,false,false,5
2,98,'2014-10-15 11:22:34.161807',189.00,'Shipped','PayPal','Priority Shipping',4,6,false,true,true,false,true,12
3,27,'2018-04-04 02:10:56.443462',184.00,'Processing','Bank Transfer','Priority Shipping',16,19,true,false,true,false,false,2
4,3,'2014-03-25 08:07:12.058689',164.00,'Shipped','Cryptocurrency','Expedited Shipping',68,32,true,false,true,false,false,3
5,28,'2021-09-27 01:44:08.905566',154.00,'Pending','Credit Card','Standard Shipping',95,21,false,true,false,true,true,7
6,100,'2023-01-20 13:33:50.717259',159.00,'Delivered','Debit Card','Expedited Shipping',53,28,false,true,false,false,false,5
7,3,'2018-12-03 18:36:19.430379',146.00,'Shipped','Bank Transfer','Expedited Shipping',49,90,true,true,true,true,true,5
8,58,'2023-02-21 00:57:08.104919',27.00,'Processing','Bank Transfer','Priority Shipping',89,59,true,false,true,true,false,14
9,95,'2023-07-30 05:05:28.377311',45.00,'Delivered','Debit Card','Priority Shipping',19,84,false,true,true,true,false,6
10,95,'2014-11-07 06:49:13.993909',15.00,'Processing','Cryptocurrency','Pickup In Store',98,53,true,false,true,true,false,8
11,22,'2015-03-16 02:11:58.155224',115.00,'Pending','Credit Card','Expedited Shipping',3,30,false,true,true,false,false,7
12,65,'2023-01-22 16:48:58.614649',59.00,'Pending','Credit Card','Same-Day Delivery',58,50,true,true,true,true,true,1
13,23,'2015-09-15 23:33:28.574953',17.00,'Refunded','Credit Card','Pickup In Store',24,38,true,true,true,true,false,8
14,84,'2021-04-21 21:05:12.583217',109.00,'Refunded','Debit Card','Priority Shipping',93,41,false,false,true,false,true,2
15,93,'2016-06-26 15:21:06.220743',69.00,'Pending','Cash on Delivery','Same-Day Delivery',54,33,false,false,false,false,true,10
16,80,'2017-02-23 01:01:39.853743',83.00,'Delivered','Cryptocurrency','Standard Shipping',18,86,false,false,true,true,false,11
17,56,'2022-08-01 16:47:15.015254',190.00,'Delivered','Cryptocurrency','Priority Shipping',49,13,true,false,false,true,false,9
