1,4,'Manage Coupons',"'Allows users to create, edit, or remove coupon codes.'"
2,4,'View Analytics','Allows users to access sales reports and analytics.'
3,15,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
4,15,'Manage Shipping',"'Allows users to set up shipping methods, rates, and carriers.'"
5,10,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
6,3,'View Reports','Allows users to generate and access various business reports.'
7,8,'View Orders','Allows users to view order history and details.'
8,13,'Manage Products',"'Allows users to add, edit, or remove products.'"
9,12,'Manage Reviews',"'Allows users to approve, edit, or delete product reviews.'"
10,14,'Manage Returns',"'Allows users to handle product returns, refunds, and exchanges.'"
11,6,'Manage Reviews',"'Allows users to approve, edit, or delete product reviews.'"
12,15,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
13,7,'Manage Returns',"'Allows users to handle product returns, refunds, and exchanges.'"
14,8,'View Products','Allows users to view product listings and details.'
15,14,'Manage Discounts',"'Allows users to create, edit, or remove discounts and promotions.'"
16,11,'Manage Discounts',"'Allows users to create, edit, or remove discounts and promotions.'"
17,4,'Manage Payments','Allows users to configure payment gateways and methods.'
18,9,'Manage Recommendations','Allows users to configure product recommendations and upsells.'
19,15,'Manage Categories',"'Allows users to create, edit, or remove product categories.'"
20,5,'Manage Coupons',"'Allows users to create, edit, or remove coupon codes.'"
21,3,'Manage Returns',"'Allows users to handle product returns, refunds, and exchanges.'"
22,1,'Manage Shipping',"'Allows users to set up shipping methods, rates, and carriers.'"
23,8,'View Customers','Allows users to view customer information and profiles.'
24,5,'View Orders','Allows users to view order history and details.'
25,9,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
26,12,'View Orders','Allows users to view order history and details.'
27,10,'Manage Reviews',"'Allows users to approve, edit, or delete product reviews.'"
28,2,'Manage Discounts',"'Allows users to create, edit, or remove discounts and promotions.'"
29,9,'Manage Discounts',"'Allows users to create, edit, or remove discounts and promotions.'"
30,6,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
31,15,'Manage Shipping',"'Allows users to set up shipping methods, rates, and carriers.'"
32,6,'View Products','Allows users to view product listings and details.'
33,2,'Manage Products',"'Allows users to add, edit, or remove products.'"
34,8,'Manage Wishlist',"'Allows users to add, remove, or move items in the wishlist.'"
35,2,'View Reports','Allows users to generate and access various business reports.'
36,15,'Manage Inventory','Allows users to update inventory levels and stock information.'
37,7,'View Orders','Allows users to view order history and details.'
38,13,'Manage Wishlist',"'Allows users to add, remove, or move items in the wishlist.'"
39,10,'View Customers','Allows users to view customer information and profiles.'
40,6,'Manage Recommendations','Allows users to configure product recommendations and upsells.'
41,6,'View Reviews','Allows users to view and moderate product reviews and ratings.'
42,11,'Manage Inventory','Allows users to update inventory levels and stock information.'
43,14,'View Orders','Allows users to view order history and details.'
44,7,'View Reports','Allows users to generate and access various business reports.'
45,12,'View Customers','Allows users to view customer information and profiles.'
46,9,'View Wishlist','Allows users to view and manage their wishlist items.'
47,9,'Manage Categories',"'Allows users to create, edit, or remove product categories.'"
48,9,'Manage Returns',"'Allows users to handle product returns, refunds, and exchanges.'"
49,7,'View Customers','Allows users to view customer information and profiles.'
50,5,'Manage Inventory','Allows users to update inventory levels and stock information.'
51,1,'Manage Wishlist',"'Allows users to add, remove, or move items in the wishlist.'"
52,9,'View Orders','Allows users to view order history and details.'
53,7,'Manage Coupons',"'Allows users to create, edit, or remove coupon codes.'"
54,13,'Manage Payments','Allows users to configure payment gateways and methods.'
55,4,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
56,7,'Manage Coupons',"'Allows users to create, edit, or remove coupon codes.'"
57,6,'Manage Shipping',"'Allows users to set up shipping methods, rates, and carriers.'"
58,7,'View Customers','Allows users to view customer information and profiles.'
59,6,'View Reports','Allows users to generate and access various business reports.'
60,11,'Manage Reviews',"'Allows users to approve, edit, or delete product reviews.'"
61,6,'View Wishlist','Allows users to view and manage their wishlist items.'
62,9,'Manage Coupons',"'Allows users to create, edit, or remove coupon codes.'"
63,4,'Manage Reviews',"'Allows users to approve, edit, or delete product reviews.'"
64,1,'View Products','Allows users to view product listings and details.'
65,2,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
66,4,'Manage Wishlist',"'Allows users to add, remove, or move items in the wishlist.'"
67,13,'View Orders','Allows users to view order history and details.'
68,10,'Manage Coupons',"'Allows users to create, edit, or remove coupon codes.'"
69,6,'View Reports','Allows users to generate and access various business reports.'
70,5,'Manage Payments','Allows users to configure payment gateways and methods.'
71,13,'View Reviews','Allows users to view and moderate product reviews and ratings.'
72,6,'Manage Inventory','Allows users to update inventory levels and stock information.'
73,3,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
74,6,'View Wishlist','Allows users to view and manage their wishlist items.'
75,9,'View Reports','Allows users to generate and access various business reports.'
76,9,'Manage Customers',"'Allows users to add, edit, or remove customer accounts.'"
77,5,'View Customers','Allows users to view customer information and profiles.'
78,1,'View Orders','Allows users to view order history and details.'
79,9,'Manage Inventory','Allows users to update inventory levels and stock information.'
80,13,'View Wishlist','Allows users to view and manage their wishlist items.'
81,3,'Manage Wishlist',"'Allows users to add, remove, or move items in the wishlist.'"
82,8,'Manage Products',"'Allows users to add, edit, or remove products.'"
83,12,'View Customers','Allows users to view customer information and profiles.'
84,2,'View Products','Allows users to view product listings and details.'
85,2,'Manage Categories',"'Allows users to create, edit, or remove product categories.'"
86,10,'Manage Coupons',"'Allows users to create, edit, or remove coupon codes.'"
87,3,'Manage Payments','Allows users to configure payment gateways and methods.'
88,3,'Manage Shipping',"'Allows users to set up shipping methods, rates, and carriers.'"
