1,1,2,'2024-03-06 14:30:00','2024-03-06 15:00:00','Friend','Active',30,'Direct','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,5
2,2,3,'2024-03-06 15:00:00','2024-03-06 15:30:00','Family','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,10
3,3,4,'2024-03-06 16:00:00','2024-03-06 16:30:00','Colleague','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,8
4,4,5,'2024-03-06 17:00:00','2024-03-06 17:30:00','Friend','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,15
5,5,6,'2024-03-06 18:00:00','2024-03-06 18:30:00','Family','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,12
6,6,7,'2024-03-06 19:00:00','2024-03-06 19:30:00','Colleague','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,20
7,7,8,'2024-03-06 20:00:00','2024-03-06 20:30:00','Friend','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,18
8,8,9,'2024-03-06 21:00:00','2024-03-06 21:30:00','Family','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,25
9,9,10,'2024-03-06 22:00:00','2024-03-06 22:30:00','Colleague','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,22
10,10,11,'2024-03-06 23:00:00','2024-03-06 23:30:00','Friend','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,30
11,11,12,'2024-03-07 00:00:00','2024-03-07 00:30:00','Family','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,28
12,12,13,'2024-03-07 01:00:00','2024-03-07 01:30:00','Colleague','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,35
13,13,14,'2024-03-07 02:00:00','2024-03-07 02:30:00','Friend','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,32
14,14,15,'2024-03-07 03:00:00','2024-03-07 03:30:00','Family','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,40
15,15,16,'2024-03-07 04:00:00','2024-03-07 04:30:00','Colleague','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,38
16,16,17,'2024-03-07 05:00:00','2024-03-07 05:30:00','Friend','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,45
17,17,18,'2024-03-07 06:00:00','2024-03-07 06:30:00','Family','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,42
18,18,19,'2024-03-07 07:00:00','2024-03-07 07:30:00','Colleague','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,50
19,19,20,'2024-03-07 08:00:00','2024-03-07 08:30:00','Friend','Active',30,'Web','Default settings',"'{""source"": ""Web""}'",false,NULL,NULL,false,NULL,NULL,48
20,20,1,'2024-03-07 09:00:00','2024-03-07 09:30:00','Family','Active',30,'Mobile','Custom settings',"'{""source"": ""Mobile""}'",false,NULL,NULL,false,NULL,NULL,55
