1,1,1,1,1,'2024-04-03 12:25:02.677375',NULL,true,false,'2024-03-01 12:00:00','Active','2024-03-01 12:00:00',"'{""visibility"": ""Public""}'",10,"'{""active"": true}'"
2,1,2,1,2,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-01 12:00:00','Inactive','2024-03-01 12:00:00',"'{""visibility"": ""Public""}'",15,"'{""active"": true}'"
3,1,3,1,2,'2024-04-03 12:25:02.677375',NULL,false,false,'2024-03-01 12:00:00','Active','2024-03-01 12:00:00',"'{""visibility"": ""Public""}'",20,"'{""active"": true}'"
4,2,1,1,1,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-02 17:00:00','Inactive','2024-03-02 17:00:00',"'{""visibility"": ""Private""}'",5,"'{""active"": true}'"
5,2,2,1,2,'2024-04-03 12:25:02.677375',NULL,true,false,'2024-03-02 17:00:00','Active','2024-03-02 17:00:00',"'{""visibility"": ""Private""}'",10,"'{""active"": true}'"
6,2,3,1,2,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-02 17:00:00','Inactive','2024-03-02 17:00:00',"'{""visibility"": ""Private""}'",8,"'{""active"": true}'"
7,3,1,1,1,'2024-04-03 12:25:02.677375',NULL,true,false,'2024-03-03 16:00:00','Active','2024-03-03 16:00:00',"'{""visibility"": ""Public""}'",12,"'{""active"": true}'"
8,3,2,1,2,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-03 16:00:00','Inactive','2024-03-03 16:00:00',"'{""visibility"": ""Public""}'",18,"'{""active"": true}'"
9,3,3,1,2,'2024-04-03 12:25:02.677375',NULL,false,false,'2024-03-03 16:00:00','Active','2024-03-03 16:00:00',"'{""visibility"": ""Public""}'",15,"'{""active"": true}'"
10,4,1,1,1,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-04 19:00:00','Inactive','2024-03-04 19:00:00',"'{""visibility"": ""Private""}'",8,"'{""active"": true}'"
11,4,2,1,2,'2024-04-03 12:25:02.677375',NULL,true,false,'2024-03-04 19:00:00','Active','2024-03-04 19:00:00',"'{""visibility"": ""Private""}'",10,"'{""active"": true}'"
12,4,3,1,2,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-04 19:00:00','Inactive','2024-03-04 19:00:00',"'{""visibility"": ""Private""}'",12,"'{""active"": true}'"
13,5,1,1,1,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-05 12:00:00','Inactive','2024-03-05 12:00:00',"'{""visibility"": ""Public""}'",15,"'{""active"": true}'"
14,5,2,1,2,'2024-04-03 12:25:02.677375',NULL,true,false,'2024-03-05 12:00:00','Active','2024-03-05 12:00:00',"'{""visibility"": ""Public""}'",20,"'{""active"": true}'"
15,5,3,1,2,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-05 12:00:00','Inactive','2024-03-05 12:00:00',"'{""visibility"": ""Public""}'",18,"'{""active"": true}'"
16,6,1,1,1,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-06 18:00:00','Inactive','2024-03-06 18:00:00',"'{""visibility"": ""Public""}'",22,"'{""active"": true}'"
17,6,2,1,2,'2024-04-03 12:25:02.677375',NULL,true,false,'2024-03-06 18:00:00','Active','2024-03-06 18:00:00',"'{""visibility"": ""Public""}'",25,"'{""active"": true}'"
18,6,3,1,2,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-06 18:00:00','Inactive','2024-03-06 18:00:00',"'{""visibility"": ""Public""}'",20,"'{""active"": true}'"
19,7,1,1,1,'2024-04-03 12:25:02.677375',NULL,true,false,'2024-03-07 21:00:00','Active','2024-03-07 21:00:00',"'{""visibility"": ""Private""}'",10,"'{""active"": true}'"
20,7,2,1,2,'2024-04-03 12:25:02.677375',NULL,false,true,'2024-03-07 21:00:00','Inactive','2024-03-07 21:00:00',"'{""visibility"": ""Private""}'",12,"'{""active"": true}'"
21,7,3,1,2,'2024-04-03 12:25:02.677375',NULL,false,false,'2024-03-07 21:00:00','Active','2024-03-07 21:00:00',"'{""visibility"": ""Private""}'",15,"'{""active"": true}'"
