1,1,1,'CREATE','Conversation created by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,false,NULL,false,NULL,"'{""key1"": ""value1""}'"
2,2,2,'UPDATE','Conversation updated by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,false,NULL,false,NULL,"'{""key2"": ""value2""}'"
3,3,3,'DELETE','Conversation deleted by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,true,NULL,false,NULL,"'{""key3"": ""value3""}'"
4,4,4,'ARCHIVE','Conversation archived by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,true,NULL,false,NULL,"'{""key4"": ""value4""}'"
5,5,5,'CREATE','Conversation created by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,false,NULL,false,NULL,"'{""key5"": ""value5""}'"
6,6,6,'UPDATE','Conversation updated by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,false,NULL,false,NULL,"'{""key6"": ""value6""}'"
7,7,7,'DELETE','Conversation deleted by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,true,NULL,false,NULL,"'{""key7"": ""value7""}'"
8,8,8,'ARCHIVE','Conversation archived by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,true,NULL,false,NULL,"'{""key8"": ""value8""}'"
9,9,9,'CREATE','Conversation created by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,false,NULL,false,NULL,"'{""key9"": ""value9""}'"
10,10,10,'UPDATE','Conversation updated by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,false,NULL,false,NULL,"'{""key10"": ""value10""}'"
11,11,11,'DELETE','Conversation deleted by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,true,NULL,false,NULL,"'{""key11"": ""value11""}'"
12,12,12,'ARCHIVE','Conversation archived by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,true,NULL,false,NULL,"'{""key12"": ""value12""}'"
13,13,13,'CREATE','Conversation created by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,false,NULL,false,NULL,"'{""key13"": ""value13""}'"
14,14,14,'UPDATE','Conversation updated by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,false,NULL,false,NULL,"'{""key14"": ""value14""}'"
15,15,15,'DELETE','Conversation deleted by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,true,NULL,false,NULL,"'{""key15"": ""value15""}'"
16,16,16,'ARCHIVE','Conversation archived by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,true,NULL,false,NULL,"'{""key16"": ""value16""}'"
17,17,17,'CREATE','Conversation created by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,false,NULL,false,NULL,"'{""key17"": ""value17""}'"
18,18,18,'UPDATE','Conversation updated by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,false,NULL,false,NULL,"'{""key18"": ""value18""}'"
19,19,19,'DELETE','Conversation deleted by user','2024-04-03 12:25:02.677375',false,NULL,false,NULL,true,NULL,false,NULL,"'{""key19"": ""value19""}'"
20,20,20,'ARCHIVE','Conversation archived by user','2024-04-03 12:25:02.677375',true,NULL,false,NULL,true,NULL,false,NULL,"'{""key20"": ""value20""}'"
