1,1,'Pending',"'{""status"": ""Message is waiting to be sent.""}'",true,false,false,false,false,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
2,2,'Sent',"'{""status"": ""Message has been sent.""}'",false,true,false,false,false,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
3,3,'Delivered',"'{""status"": ""Message has been delivered.""}'",false,false,true,false,false,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
4,4,'Read',"'{""status"": ""Message has been read.""}'",false,false,false,true,false,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
5,5,'Archived',"'{""status"": ""Message has been archived.""}'",false,false,false,false,true,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
6,6,'Deleted',"'{""status"": ""Message has been deleted.""}'",false,false,false,false,false,true,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
7,7,'Edited',"'{""status"": ""Message has been edited.""}'",false,false,false,false,false,false,true,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
8,8,'Forwarded',"'{""status"": ""Message has been forwarded.""}'",false,false,false,false,false,false,false,true,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
9,9,'Replied',"'{""status"": ""Message has been replied.""}'",false,false,false,false,false,false,false,false,true,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
10,10,'Flagged',"'{""status"": ""Message has been flagged.""}'",false,false,false,false,false,false,false,false,false,true,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
11,11,'Draft',"'{""status"": ""Message is in draft.""}'",false,false,false,false,false,false,false,false,false,false,true,false,NULL,'2024-04-03 12:25:02.677375',NULL
12,12,'Error',"'{""status"": ""Message has encountered an error.""}'",false,false,false,false,false,false,false,false,false,false,false,true,'Error encountered while sending message.','2024-04-03 12:25:02.677375',NULL
13,13,'Pending',"'{""status"": ""Message is waiting to be sent.""}'",true,false,false,false,false,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
14,14,'Sent',"'{""status"": ""Message has been sent.""}'",false,true,false,false,false,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
15,15,'Delivered',"'{""status"": ""Message has been delivered.""}'",false,false,true,false,false,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
16,16,'Read',"'{""status"": ""Message has been read.""}'",false,false,false,true,false,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
17,17,'Archived',"'{""status"": ""Message has been archived.""}'",false,false,false,false,true,false,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
18,8,'Deleted',"'{""status"": ""Message has been deleted.""}'",false,false,false,false,false,true,false,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
19,9,'Edited',"'{""status"": ""Message has been edited.""}'",false,false,false,false,false,false,true,false,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
20,10,'Forwarded',"'{""status"": ""Message has been forwarded.""}'",false,false,false,false,false,false,false,true,false,false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL
