1,95,52,'2016-06-03 10:14:33.844894'
2,55,70,'2022-11-29 07:38:13.909939'
3,2,80,'2017-10-03 13:32:43.9872'
4,20,29,'2015-04-26 20:14:12.233062'
5,53,10,'2014-04-27 01:11:11.443978'
6,96,17,'2020-12-27 12:52:10.576748'
7,53,72,'2019-02-15 04:55:19.657862'
8,56,85,'2018-10-21 15:57:52.363633'
9,57,20,'2014-05-29 07:22:27.823946'
10,58,27,'2017-10-08 19:18:42.903256'
11,31,5,'2015-05-19 04:03:39.897691'
12,28,57,'2023-08-24 01:22:12.085689'
13,59,19,'2019-02-16 06:02:07.857256'
14,82,24,'2022-10-13 20:26:52.245724'
15,47,59,'2019-05-16 07:08:18.213833'
16,62,60,'2018-06-18 14:04:26.475502'
17,57,99,'2019-07-24 00:12:19.951362'
18,69,26,'2014-10-03 18:48:37.859453'
19,36,92,'2020-09-07 12:46:25.46257'
20,93,11,'2019-09-15 17:44:29.915648'
21,29,77,'2014-09-02 10:41:06.126458'
22,64,83,'2021-06-02 17:36:15.619702'
23,54,34,'2021-07-24 10:37:33.435874'
24,6,4,'2017-03-05 08:43:04.558716'
25,3,6,'2020-09-01 20:04:58.941267'
26,25,100,'2019-03-15 06:21:15.006619'
27,4,4,'2018-02-21 23:46:38.382878'
28,20,95,'2023-02-01 22:46:22.957537'
29,73,74,'2021-04-11 14:01:05.983217'
30,95,94,'2021-10-29 17:39:56.22214'
31,69,71,'2017-01-08 14:15:02.260471'
32,24,77,'2020-07-17 07:32:13.168835'
33,54,86,'2023-08-03 00:47:30.644569'
34,3,17,'2023-03-08 13:02:28.517856'
35,68,37,'2021-10-04 02:12:18.450466'
36,67,57,'2017-02-04 14:04:22.020049'
37,5,64,'2021-05-24 16:50:38.142457'
38,76,33,'2015-03-06 06:14:47.987385'
39,34,86,'2014-08-26 21:46:55.272127'
40,43,13,'2015-01-17 11:05:45.373799'
41,27,58,'2024-02-04 03:26:32.849726'
42,99,95,'2023-12-14 10:25:11.248521'
43,98,52,'2022-02-24 17:16:43.170896'
44,31,43,'2023-04-19 16:41:11.567517'
45,92,58,'2023-02-25 16:58:57.1816'
46,15,88,'2016-09-17 08:47:16.453405'
47,57,13,'2018-11-04 03:00:58.208524'
48,71,13,'2021-10-22 16:13:21.738201'
49,43,53,'2020-09-15 10:15:19.594304'
50,97,77,'2020-03-15 03:49:14.211926'
51,72,100,'2018-12-28 12:25:49.242446'
52,71,56,'2017-05-09 15:15:48.726013'
53,79,1,'2021-04-09 03:52:05.290452'
54,51,18,'2016-11-06 01:49:12.02162'
55,19,54,'2022-10-12 09:54:50.757747'
56,4,29,'2014-03-23 07:23:36.107925'
57,96,73,'2023-01-17 18:44:24.217349'
58,70,93,'2021-09-23 03:04:48.242767'
59,75,24,'2022-10-27 04:01:01.242382'
60,74,97,'2021-06-14 03:25:21.899811'
61,99,51,'2024-01-01 06:46:05.045108'
62,33,74,'2015-12-10 23:28:07.898983'
63,58,79,'2014-08-26 02:19:33.416833'
64,42,79,'2018-07-21 12:42:56.629628'
65,21,17,'2019-05-26 19:52:52.20432'
66,56,60,'2015-01-11 08:29:59.578413'
67,12,36,'2015-01-02 02:20:06.358613'
68,70,49,'2015-03-31 17:47:56.540169'
69,96,76,'2014-05-30 09:01:26.928754'
70,25,35,'2017-04-12 14:16:57.511999'
71,2,75,'2023-03-12 14:13:16.839074'
72,58,21,'2023-12-12 15:00:25.143689'
73,95,31,'2017-12-09 08:59:45.516426'
74,90,85,'2024-01-05 08:49:40.318783'
75,21,51,'2014-06-19 04:46:38.957067'
76,45,65,'2021-07-25 06:14:48.467459'
77,92,49,'2014-04-25 04:51:01.097556'
78,14,68,'2017-05-14 02:13:00.958955'
79,71,77,'2023-04-19 23:20:22.760658'
80,21,46,'2014-09-17 06:52:13.518343'
81,60,15,'2022-04-26 12:35:35.363349'
82,96,84,'2018-04-17 22:52:29.357989'
83,46,33,'2017-04-05 23:21:10.858158'
84,73,100,'2024-01-13 02:30:54.761942'
85,16,16,'2016-03-01 00:45:58.744908'
86,15,84,'2016-03-31 11:34:56.023991'
87,74,25,'2023-07-08 10:03:47.577441'
88,85,13,'2014-09-22 14:14:05.905917'
89,40,35,'2018-06-04 16:27:51.838741'
90,59,92,'2021-09-24 15:20:15.403416'
91,54,71,'2022-10-23 22:05:45.580099'
92,1,89,'2016-08-20 19:12:34.445736'
93,46,45,'2022-04-18 05:45:08.506406'
94,14,37,'2020-11-07 20:24:54.177013'
95,77,18,'2014-06-21 19:46:31.510038'
96,90,41,'2015-04-15 10:07:09.689373'
97,45,79,'2014-07-07 22:08:06.177949'
98,50,2,'2023-11-06 09:29:17.872524'
99,89,80,'2018-01-16 07:16:54.934021'
100,49,63,'2021-05-24 18:26:57.201061'
