1,'07DY3XL7',8.01,'Tiered Discount',18.01,38.01,'2017-11-11 12:50:21.859786','2022-05-31 00:00:00',true,'2014-08-12 15:13:32.501714','2021-03-28 00:25:33.591466'
2,'RV9U4DJ5',6.77,'Clearance Discount',16.77,36.77,'2014-10-04 06:30:20.134326','2022-09-20 00:00:00',false,'2021-08-23 03:38:33.293047','2021-09-20 15:21:19.586489'
3,'QR4SRQ08',5.11,'Free Shipping',15.11,35.11,'2015-12-08 08:24:05.946643','2020-09-24 00:00:00',true,'2017-08-20 15:19:45.983142','2018-07-20 08:20:20.208625'
4,'J4B645UA',7.57,'Fixed Amount Discount',17.57,37.57,'2016-08-24 04:26:54.987641','2022-12-10 00:00:00',true,'2019-06-04 01:59:43.319578','2023-01-24 20:28:41.871658'
5,'3WAX7AHV',7.06,'Percentage Discount',17.06,37.06,'2019-04-10 15:36:17.925182','2021-07-30 00:00:00',true,'2020-03-31 22:11:30.333641','2023-12-20 13:16:22.470196'
6,'L833A97Q',7.42,'Free Shipping',17.42,37.42,'2022-09-09 07:55:42.08918','2022-12-27 00:00:00',false,'2018-06-24 08:32:57.357208','2023-03-07 06:38:00.919792'
7,'2I0ND3MG',7.13,'Clearance Discount',17.13,37.13,'2021-10-24 21:52:24.988755','2023-12-19 00:00:00',true,'2014-06-07 02:32:23.992846','2021-09-11 00:02:37.314111'
8,'V97I6GNF',6.23,'Cashback',16.23,36.23,'2016-06-08 06:25:05.68897','2021-01-31 00:00:00',false,'2017-07-11 01:48:45.781275','2018-12-26 15:15:44.087866'
9,'B6C946X7',6.04,'Tiered Discount',16.04,36.04,'2020-10-26 14:38:34.181983','2022-10-08 00:00:00',false,'2023-02-06 05:47:40.409348','2023-05-06 15:58:43.059581'
10,'OIH7QXF3',9.61,'Seasonal Discount',19.61,39.61,'2017-02-22 18:31:08.859615','2022-11-08 00:00:00',true,'2014-08-03 00:02:51.158244','2014-08-19 00:26:45.157193'
11,'274006UJ',8.90,'Seasonal Discount',18.90,38.90,'2022-03-26 16:07:58.319993','2023-09-24 00:00:00',false,'2019-05-09 13:26:03.690483','2023-04-09 14:42:19.787803'
12,'LWBNOKN1',8.88,'Free Shipping',18.88,38.88,'2017-12-15 23:13:16.819021','2020-12-09 00:00:00',true,'2017-03-03 11:02:38.898645','2023-02-27 05:16:34.97919'
13,'VQWONAES',7.79,'Loyalty Points',17.79,37.79,'2018-09-01 20:01:44.000578','2018-12-12 00:00:00',false,'2021-11-07 00:27:25.28819','2022-12-08 06:01:05.885248'
14,'HWKL4A4F',6.11,'Seasonal Discount',16.11,36.11,'2014-10-19 21:03:05.542586','2017-11-29 00:00:00',false,'2019-12-14 20:35:27.10896','2021-05-28 03:28:28.03246'
15,'80M5F8MZ',9.04,'Free Shipping',19.04,39.04,'2016-06-23 22:05:15.841327','2023-11-15 00:00:00',true,'2020-02-11 23:35:03.061597','2022-08-28 07:26:35.614976'
16,'S499LLSC',5.29,'Cashback',15.29,35.29,'2022-02-27 03:52:23.773701','2023-11-10 00:00:00',false,'2020-11-16 10:47:42.764714','2023-07-13 23:12:56.868771'
17,'F8SVUPXI',5.27,'Tiered Discount',15.27,35.27,'2017-07-15 04:02:49.867585','2020-10-08 00:00:00',true,'2018-05-03 23:00:55.074177','2023-07-19 07:35:52.237323'
18,'YBZ71W7J',7.02,'Fixed Amount Discount',17.02,37.02,'2023-11-17 02:01:35.0816','2024-02-08 00:00:00',false,'2015-07-28 08:07:00.153788','2018-06-23 05:18:52.371166'
19,'0ARSBANL',8.97,'Bundle Discount',18.97,38.97,'2023-03-28 18:25:35.551621','2023-08-16 00:00:00',false,'2018-07-06 10:31:14.62402','2020-09-03 06:43:43.64125'
20,'77OKB8ZR',7.27,'Cashback',17.27,37.27,'2017-07-10 02:47:54.932221','2021-02-06 00:00:00',true,'2017-06-11 17:50:16.533199','2020-04-04 01:20:58.146055'
21,'DD4EAP3Z',6.00,'Cashback',16.00,36.00,'2021-01-20 23:41:27.00889','2023-03-06 00:00:00',true,'2020-08-14 01:13:01.277482','2021-03-23 10:23:23.972786'
22,'DVOKUHE2',6.21,'Loyalty Points',16.21,36.21,'2015-07-13 23:27:08.771792','2020-07-20 00:00:00',true,'2015-12-15 02:23:16.482585','2018-02-20 01:53:46.426193'
