1,5458591,'English','UTC-5',"'{""sms"": false, ""push"": true, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
2,5458592,'Spanish','UTC-6',"'{""sms"": true, ""push"": true, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
3,5458593,'French','UTC+1',"'{""sms"": true, ""push"": false, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
4,5458594,'German','UTC+2',"'{""sms"": false, ""push"": true, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
5,5458595,'Italian','UTC+1',"'{""sms"": true, ""push"": true, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
6,5458596,'Portuguese','UTC-3',"'{""sms"": true, ""push"": false, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
7,5458597,'Chinese','UTC+8',"'{""sms"": false, ""push"": true, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
8,5458598,'Japanese','UTC+9',"'{""sms"": true, ""push"": false, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
9,5458599,'Korean','UTC+9',"'{""sms"": true, ""push"": true, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
10,5458600,'Arabic','UTC+3',"'{""sms"": false, ""push"": true, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
11,5458601,'Russian','UTC+3',"'{""sms"": false, ""push"": true, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
12,5458602,'Dutch','UTC+1',"'{""sms"": true, ""push"": false, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
13,5458603,'Swedish','UTC+1',"'{""sms"": true, ""push"": true, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
14,5458604,'Greek','UTC+2',"'{""sms"": false, ""push"": true, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
15,5458605,'Turkish','UTC+3',"'{""sms"": false, ""push"": false, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
16,5458606,'Polish','UTC+1',"'{""sms"": true, ""push"": true, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
17,5458607,'Vietnamese','UTC+7',"'{""sms"": true, ""push"": true, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
18,5458608,'Thai','UTC+7',"'{""sms"": false, ""push"": true, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
19,5458609,'Indonesian','UTC+7',"'{""sms"": false, ""push"": false, ""email"": true}'",'Light','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
20,5458610,'Malay','UTC+8',"'{""sms"": true, ""push"": true, ""email"": false}'",'Dark','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
