1,5458591,'2024-03-06 08:00:00','192.168.1.100','Desktop','Chrome',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Windows"", ""version"": ""10"", ""family"": ""Chrome""}'","'{""message"": ""Login successful""}'"
2,5458592,'2024-03-06 08:30:00','192.168.1.101','Mobile','Safari',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""iOS"", ""version"": ""14"", ""family"": ""Mobile Safari""}'","'{""message"": ""Login successful""}'"
3,5458593,'2024-03-06 09:00:00','192.168.1.102','Desktop','Firefox',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Windows"", ""version"": ""10"", ""family"": ""Firefox""}'","'{""message"": ""Login successful""}'"
4,5458594,'2024-03-06 09:30:00','192.168.1.103','Mobile','Chrome',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Android"", ""version"": ""11"", ""family"": ""Chrome""}'","'{""message"": ""Login successful""}'"
5,5458595,'2024-03-06 10:00:00','192.168.1.104','Desktop','Edge',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Windows"", ""version"": ""10"", ""family"": ""Edge""}'","'{""message"": ""Login successful""}'"
6,5458596,'2024-03-06 10:30:00','192.168.1.105','Mobile','Chrome',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""iOS"", ""version"": ""15"", ""family"": ""Chrome""}'","'{""message"": ""Login successful""}'"
7,5458597,'2024-03-06 11:00:00','192.168.1.106','Desktop','Firefox',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""MacOS"", ""version"": ""12"", ""family"": ""Firefox""}'","'{""message"": ""Login successful""}'"
8,5458598,'2024-03-06 11:30:00','192.168.1.107','Mobile','Safari',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""iOS"", ""version"": ""14"", ""family"": ""Mobile Safari""}'","'{""message"": ""Login successful""}'"
9,5458599,'2024-03-06 12:00:00','192.168.1.108','Desktop','Chrome',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Windows"", ""version"": ""11"", ""family"": ""Chrome""}'","'{""message"": ""Login successful""}'"
10,5458600,'2024-03-06 12:30:00','192.168.1.109','Mobile','Firefox',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Android"", ""version"": ""12"", ""family"": ""Firefox""}'","'{""message"": ""Login successful""}'"
11,5458601,'2024-03-06 13:00:00','192.168.1.110','Desktop','Edge',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Windows"", ""version"": ""10"", ""family"": ""Edge""}'","'{""message"": ""Login successful""}'"
12,5458602,'2024-03-06 13:30:00','192.168.1.111','Mobile','Safari',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""iOS"", ""version"": ""14"", ""family"": ""Mobile Safari""}'","'{""message"": ""Login successful""}'"
13,5458603,'2024-03-06 14:00:00','192.168.1.112','Desktop','Chrome',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Windows"", ""version"": ""10"", ""family"": ""Chrome""}'","'{""message"": ""Login successful""}'"
14,5458604,'2024-03-06 14:30:00','192.168.1.113','Mobile','Firefox',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Android"", ""version"": ""11"", ""family"": ""Firefox""}'","'{""message"": ""Login successful""}'"
15,5458605,'2024-03-06 15:00:00','192.168.1.114','Desktop','Edge',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Windows"", ""version"": ""11"", ""family"": ""Edge""}'","'{""message"": ""Login successful""}'"
16,5458606,'2024-03-06 15:30:00','192.168.1.115','Mobile','Chrome',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""iOS"", ""version"": ""15"", ""family"": ""Chrome""}'","'{""message"": ""Login successful""}'"
17,5458607,'2024-03-06 16:00:00','192.168.1.116','Desktop','Firefox',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""MacOS"", ""version"": ""12"", ""family"": ""Firefox""}'","'{""message"": ""Login successful""}'"
18,5458608,'2024-03-06 16:30:00','192.168.1.117','Mobile','Safari',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""iOS"", ""version"": ""14"", ""family"": ""Mobile Safari""}'","'{""message"": ""Login successful""}'"
19,5458609,'2024-03-06 17:00:00','192.168.1.118','Desktop','Chrome',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Windows"", ""version"": ""11"", ""family"": ""Chrome""}'","'{""message"": ""Login successful""}'"
20,5458610,'2024-03-06 17:30:00','192.168.1.119','Mobile','Firefox',true,'2024-04-03 12:35:26.424514',"'{""platform"": ""Android"", ""version"": ""12"", ""family"": ""Firefox""}'","'{""message"": ""Login successful""}'"
