1,3536251,'2023-01-10','Travel','Flight ticket for business trip',350.00,'receipts/flight_ticket.jpg'
2,3536252,'2023-02-15','Meals','Dinner with clients',80.50,'receipts/dinner_receipt.jpg'
3,3536253,'2023-03-20','Transportation','Uber ride for meeting',25.00,'receipts/uber_receipt.jpg'
4,3536254,'2023-04-05','Accommodation','Hotel stay during business trip',200.00,'receipts/hotel_receipt.jpg'
5,3536255,'2023-05-12','Supplies','Office supplies purchase',50.20,'receipts/supplies_receipt.jpg'
6,3536256,'2023-06-18','Meals','Lunch with clients',45.75,'receipts/lunch_receipt.jpg'
7,3536257,'2023-07-25','Transportation','Taxi fare for airport transfer',30.00,'receipts/taxi_receipt.jpg'
8,3536258,'2023-08-10','Miscellaneous','Miscellaneous business expense',100.00,'receipts/misc_receipt.jpg'
9,3536259,'2023-09-15','Meals','Coffee meeting with potential client',15.50,'receipts/coffee_receipt.jpg'
10,3536260,'2023-10-20','Supplies','Purchase of software licenses',300.00,'receipts/software_receipt.jpg'
11,3536251,'2023-11-05','Transportation','Gasoline for company vehicle',40.00,'receipts/gas_receipt.jpg'
12,3536252,'2023-12-12','Meals','Team lunch',90.00,'receipts/team_lunch_receipt.jpg'
13,3536253,'2024-01-18','Accommodation','Airbnb rental for business trip',150.00,'receipts/airbnb_receipt.jpg'
14,3536254,'2024-02-20','Transportation','Train tickets for conference',60.00,'receipts/train_receipt.jpg'
15,3536255,'2024-03-25','Meals','Dinner with partners',120.75,'receipts/partners_dinner_receipt.jpg'
16,3536256,'2024-04-10','Supplies','Purchase of office furniture',500.00,'receipts/furniture_receipt.jpg'
17,3536257,'2024-05-15','Transportation','Parking fee at client site',20.00,'receipts/parking_receipt.jpg'
18,3536258,'2024-06-20','Meals','Breakfast meeting',35.25,'receipts/breakfast_receipt.jpg'
19,3536259,'2024-07-25','Accommodation','Hotel stay during business trip',180.00,'receipts/hotel_receipt.jpg'
20,3536260,'2024-08-30','Transportation','Flight ticket for business trip',400.00,'receipts/flight_receipt.jpg'
