1,'2023-01-05',1500.00,'Credit Card',1
2,'2023-02-10',1200.00,'PayPal',2
3,'2023-03-15',1800.00,'Bank Transfer',3
4,'2023-04-20',900.00,'Cash',4
5,'2023-05-25',2000.00,'Credit Card',5
6,'2023-06-30',1600.00,'PayPal',6
7,'2023-07-05',1400.00,'Bank Transfer',7
8,'2023-08-10',1100.00,'Cash',8
9,'2023-09-15',1700.00,'Credit Card',9
10,'2023-10-20',1300.00,'PayPal',10
11,'2023-11-25',1900.00,'Bank Transfer',11
12,'2023-12-30',1000.00,'Cash',12
13,'2024-01-05',1500.00,'Credit Card',13
14,'2024-02-10',1200.00,'PayPal',14
15,'2024-03-15',1800.00,'Bank Transfer',15
16,'2024-04-20',900.00,'Cash',16
17,'2024-05-25',2000.00,'Credit Card',17
18,'2024-06-30',1600.00,'PayPal',18
19,'2024-07-05',1400.00,'Bank Transfer',19
20,'2024-08-10',1100.00,'Cash',20
