1,3536251,'2022-01-01','09:00:00','17:00:00','Office Block A','Office A','Biometric Scanner','Biometric Scanner',8.00,0.00,'Day','Regular work hours'
2,3536252,'2022-01-01','08:30:00','16:30:00','Office Block B','Office B','ID Card Swipe','ID Card Swipe',8.00,0.00,'Day','Regular work hours'
3,3536253,'2022-01-01','08:45:00','16:45:00','Office Block C','Office C','QR Code Scan','QR Code Scan',8.00,0.00,'Day','Regular work hours'
4,3536254,'2022-01-01','09:15:00','17:15:00','Office Block A','Office A','Biometric Scanner','Biometric Scanner',8.00,0.00,'Day','Regular work hours'
5,3536255,'2022-01-01','09:30:00','17:30:00','Office Block B','Office B','ID Card Swipe','ID Card Swipe',8.00,0.00,'Day','Regular work hours'
6,3536256,'2022-01-01','09:00:00','18:00:00','Office Block C','Office C','QR Code Scan','QR Code Scan',9.00,1.00,'Day','Worked extra hour for project completion'
7,3536257,'2022-01-01','10:00:00','18:00:00','Office Block A','Office A','Biometric Scanner','Biometric Scanner',7.00,0.00,'Day','Early check-in due to early meeting'
8,3536258,'2022-01-01','09:30:00','17:30:00','Office Block B','Office B','ID Card Swipe','ID Card Swipe',8.00,0.00,'Day','Regular work hours'
9,3536259,'2022-01-01','09:00:00','18:00:00','Office Block C','Office C','QR Code Scan','QR Code Scan',9.00,1.00,'Day','Worked extra hour for project completion'
10,3536260,'2022-01-01','09:30:00','17:30:00','Office Block A','Office A','Biometric Scanner','Biometric Scanner',8.00,0.00,'Day','Regular work hours'
11,3536261,'2022-01-01','10:00:00','18:00:00','Office Block B','Office B','ID Card Swipe','ID Card Swipe',7.00,0.00,'Day','Early check-in due to early meeting'
12,3536262,'2022-01-01','09:00:00','18:00:00','Office Block C','Office C','QR Code Scan','QR Code Scan',9.00,1.00,'Day','Worked extra hour for project completion'
13,3536263,'2022-01-01','09:30:00','17:30:00','Office Block A','Office A','Biometric Scanner','Biometric Scanner',8.00,0.00,'Day','Regular work hours'
14,3536264,'2022-01-01','09:00:00','18:00:00','Office Block B','Office B','ID Card Swipe','ID Card Swipe',9.00,1.00,'Day','Worked extra hour for project completion'
15,3536265,'2022-01-01','09:30:00','17:30:00','Office Block C','Office C','QR Code Scan','QR Code Scan',8.00,0.00,'Day','Regular work hours'
16,3536266,'2022-01-01','09:00:00','17:00:00','Office Block A','Office A','Biometric Scanner','Biometric Scanner',8.00,0.00,'Day','Regular work hours'
17,3536267,'2022-01-01','08:30:00','16:30:00','Office Block B','Office B','ID Card Swipe','ID Card Swipe',8.00,0.00,'Day','Regular work hours'
18,3536268,'2022-01-01','08:45:00','16:45:00','Office Block C','Office C','QR Code Scan','QR Code Scan',8.00,0.00,'Day','Regular work hours'
19,3536269,'2022-01-01','09:15:00','17:15:00','Office Block A','Office A','Biometric Scanner','Biometric Scanner',8.00,0.00,'Day','Regular work hours'
20,3536270,'2022-01-01','09:30:00','17:30:00','Office Block B','Office B','ID Card Swipe','ID Card Swipe',8.00,0.00,'Day','Regular work hours'
