1,'2023-01-01',8.00,2.00,'None'
2,'2023-01-02',7.50,1.50,'None'
3,'2023-01-03',8.00,0.00,'Sick Leave'
4,'2023-01-04',8.00,1.00,'Vacation'
5,'2023-01-05',8.50,2.50,'None'
6,'2023-01-06',8.00,0.00,'None'
7,'2023-01-07',8.00,0.00,'None'
8,'2023-01-08',7.00,0.00,'Sick Leave'
9,'2023-01-09',8.00,1.00,'None'
10,'2023-01-10',8.00,0.00,'None'
11,'2023-01-11',8.50,1.50,'None'
12,'2023-01-12',8.00,0.00,'Vacation'
13,'2023-01-13',8.00,2.00,'None'
14,'2023-01-14',7.50,1.50,'None'
15,'2023-01-15',8.00,0.00,'None'
16,'2023-01-16',8.50,1.50,'None'
17,'2023-01-17',8.00,0.00,'None'
18,'2023-01-18',8.00,0.00,'None'
19,'2023-01-19',8.00,1.00,'Sick Leave'
20,'2023-01-20',8.00,2.00,'None'
