1,3536251,1,2023,true,false
2,3536252,1,2023,true,false
3,3536253,1,2023,true,false
4,3536254,1,2023,true,false
5,3536255,1,2023,true,false
6,3536256,1,2023,true,false
7,3536257,1,2023,true,false
8,3536258,1,2023,true,false
9,3536259,1,2023,true,false
10,3536260,1,2023,true,false
11,3536251,1,2023,false,true
12,3536252,1,2023,false,true
13,3536253,1,2023,false,true
14,3536254,1,2023,false,true
15,3536255,1,2023,false,true
16,3536256,1,2023,false,true
17,3536257,1,2023,false,true
18,3536258,1,2023,false,true
19,3536259,1,2023,false,true
20,3536260,1,2023,false,true
