1,3536251,'Laptop 1','SN123456','Dell XPS 15','2020-05-10','2023-05-10','Active','2020-05-10',NULL
2,3536252,'Desktop 1','SN789012','HP Pavilion','2019-10-20','2022-10-20','Returned','2019-10-20','2021-07-15'
3,3536253,'Laptop 2','SN234567','MacBook Pro','2021-03-15','2024-03-15','Active','2021-03-15',NULL
4,3536254,'Desktop 2','SN890123','Lenovo ThinkCentre','2022-07-30','2025-07-30','Active','2022-07-30',NULL
5,3536255,'Laptop 3','SN345678','Asus ZenBook','2020-11-25','2023-11-25','Active','2020-11-25',NULL
6,3536256,'Desktop 3','SN901234','Acer Aspire','2019-12-10','2022-12-10','Active','2019-12-10',NULL
7,3536257,'Laptop 4','SN456789','Microsoft Surface','2021-09-05','2024-09-05','Active','2021-09-05',NULL
8,3536258,'Desktop 4','SN012345','Dell OptiPlex','2022-04-18','2025-04-18','Active','2022-04-18',NULL
9,3536259,'Laptop 5','SN567890','HP Spectre','2023-01-20','2026-01-20','Active','2023-01-20',NULL
10,3536260,'Desktop 5','SN123456','Asus ROG Strix','2020-08-15','2023-08-15','Active','2020-08-15',NULL
11,3536261,'Laptop 6','SN234567','Lenovo Yoga','2022-05-10','2025-05-10','Active','2022-05-10',NULL
12,3536262,'Desktop 6','SN345678','Microsoft Surface Studio','2021-07-20','2024-07-20','Active','2021-07-20',NULL
13,3536263,'Laptop 7','SN456789','Dell Inspiron','2020-11-30','2023-11-30','Active','2020-11-30',NULL
14,3536264,'Desktop 7','SN567890','Apple iMac','2019-10-25','2022-10-25','Returned','2019-10-25','2021-11-30'
15,3536265,'Laptop 8','SN678901','HP Envy','2021-06-15','2024-06-15','Active','2021-06-15',NULL
16,3536266,'Desktop 8','SN789012','Acer Predator','2023-02-28','2026-02-28','Active','2023-02-28',NULL
17,3536267,'Laptop 9','SN890123','Microsoft Surface Book','2022-09-20','2025-09-20','Active','2022-09-20',NULL
18,3536268,'Desktop 9','SN901234','Lenovo Legion','2020-05-12','2023-05-12','Active','2020-05-12',NULL
19,3536269,'Laptop 10','SN012345','Asus VivoBook','2021-04-18','2024-04-18','Active','2021-04-18',NULL
20,3536270,'Desktop 10','SN123456','Dell Precision','2023-03-05','2026-03-05','Active','2023-03-05',NULL
