1,5458591,'Stock','AAPL',100.00,150.00,'2023-01-01',175.00,17500.00,15000.00,2500.00,16.67,'NASDAQ','Technology','USA',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
2,5458592,'Cryptocurrency','BTC',5.25,40000.00,'2023-02-15',45000.00,236250.00,210000.00,26250.00,12.50,'Coinbase','Digital','Global',true,true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
3,5458593,'ETF','VOO',50.00,300.00,'2023-03-20',320.00,16000.00,15000.00,1000.00,6.67,'NYSE','Finance','USA',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
4,5458594,'Mutual Fund','VTSAX',75.00,200.00,'2023-04-10',210.00,15750.00,15000.00,750.00,5.00,'Vanguard','Finance','USA',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
5,5458595,'Real Estate','REIT',2.00,100000.00,'2023-05-05',110000.00,220000.00,200000.00,20000.00,10.00,'Local Market','Real Estate','USA',true,true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
6,5458596,'Precious Metal','GLD',20.00,150.00,'2023-06-15',160.00,3200.00,3000.00,200.00,6.67,'Gold Exchange','Commodity','Global',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
7,5458597,'Bond','T-Bill',1000.00,100.00,'2023-07-20',101.00,101000.00,100000.00,1000.00,1.00,'US Treasury','Finance','USA',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
8,5458598,'Forex','EUR/USD',500.00,1.20,'2023-08-10',1.25,625.00,600.00,25.00,4.17,'Forex Exchange','Currency','Global',true,true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
9,5458599,'Commodity','OIL',150.00,50.00,'2023-09-05',55.00,8250.00,7500.00,750.00,10.00,'Commodity Exchange','Energy','Global',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
10,5458600,'ETF','QQQ',25.00,300.00,'2023-10-01',320.00,8000.00,7500.00,500.00,6.67,'NASDAQ','Technology','USA',true,true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
11,5458601,'Stock','GOOGL',50.00,250.00,'2023-11-12',270.00,13500.00,12500.00,1000.00,8.00,'NASDAQ','Technology','USA',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
12,5458602,'Cryptocurrency','ETH',10.50,2000.00,'2023-12-20',2200.00,23100.00,21000.00,2100.00,10.00,'Coinbase','Digital','Global',true,true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
13,5458603,'Mutual Fund','VTI',100.00,150.00,'2024-01-10',160.00,16000.00,15000.00,1000.00,6.67,'Vanguard','Finance','USA',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
14,5458604,'Real Estate','REIT',3.00,75000.00,'2024-02-15',80000.00,240000.00,225000.00,15000.00,6.67,'Local Market','Real Estate','USA',true,true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
15,5458605,'ETF','SPY',40.00,400.00,'2024-03-20',420.00,16800.00,16000.00,800.00,5.00,'NYSE','Finance','USA',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
16,5458606,'Stock','MSFT',75.00,300.00,'2024-04-10',320.00,24000.00,22500.00,1500.00,6.67,'NASDAQ','Technology','USA',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
17,5458607,'Bond','Corporate',500.00,50.00,'2024-05-05',52.00,26000.00,25000.00,1000.00,4.00,'Corporate Bond Market','Finance','Global',true,true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
18,5458608,'Commodity','GOLD',5.00,1500.00,'2024-06-15',1550.00,7750.00,7500.00,250.00,3.33,'Gold Exchange','Commodity','Global',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
19,5458609,'Forex','GBP/USD',1000.00,1.35,'2024-07-20',1.40,1400.00,1350.00,50.00,3.70,'Forex Exchange','Currency','Global',true,true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
20,5458610,'Cryptocurrency','XRP',2000.00,0.50,'2024-08-10',0.60,1200.00,1000.00,200.00,20.00,'Coinbase','Digital','Global',true,false,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
