1,5458591,'Deposit',1000.00,1,'2024-03-01 10:00:00','Completed',"'{""description"": ""Initial deposit""}'",'D',1
2,5458592,'Withdrawal',500.00,1,'2024-03-02 11:00:00','Completed',"'{""description"": ""Withdrawal for expenses""}'",'W',2
3,5458593,'Deposit',1500.00,1,'2024-03-03 12:00:00','Pending',"'{""description"": ""Deposit from client""}'",'D',4
4,5458594,'Withdrawal',800.00,1,'2024-03-04 13:00:00','Completed',"'{""description"": ""Withdrawal for rent""}'",'W',5
5,5458595,'Deposit',2000.00,1,'2024-03-05 14:00:00','Completed',"'{""description"": ""Bonus deposit""}'",'D',6
6,5458596,'Withdrawal',1200.00,1,'2024-03-06 15:00:00','Completed',"'{""description"": ""Withdrawal for utilities""}'",'W',1
7,5458597,'Deposit',2500.00,1,'2024-03-07 16:00:00','Completed',"'{""description"": ""Salary deposit""}'",'D',1
8,5458598,'Withdrawal',700.00,1,'2024-03-08 17:00:00','Completed',"'{""description"": ""Withdrawal for groceries""}'",'W',2
9,5458599,'Deposit',1800.00,1,'2024-03-09 18:00:00','Pending',"'{""description"": ""Deposit from partner""}'",'D',10
10,5458600,'Withdrawal',900.00,1,'2024-03-10 19:00:00','Completed',"'{""description"": ""Withdrawal for car payment""}'",'W',11
11,5458601,'Deposit',3000.00,1,'2024-03-11 20:00:00','Completed',"'{""description"": ""Investment deposit""}'",'D',19
12,5458602,'Withdrawal',1500.00,1,'2024-03-12 21:00:00','Completed',"'{""description"": ""Withdrawal for vacation""}'",'W',18
13,5458603,'Deposit',2200.00,1,'2024-03-13 22:00:00','Completed',"'{""description"": ""Commission deposit""}'",'D',2
14,5458604,'Withdrawal',1100.00,1,'2024-03-14 23:00:00','Completed',"'{""description"": ""Withdrawal for medical expenses""}'",'W',7
15,5458605,'Deposit',2700.00,1,'2024-03-15 12:00:00','Completed',"'{""description"": ""Bonus deposit""}'",'D',3
16,5458606,'Withdrawal',1300.00,1,'2024-03-16 13:00:00','Completed',"'{""description"": ""Withdrawal for entertainment""}'",'W',6
17,5458607,'Deposit',3200.00,1,'2024-03-17 14:00:00','Completed',"'{""description"": ""Refund deposit""}'",'D',20
18,5458608,'Withdrawal',1600.00,1,'2024-03-18 15:00:00','Completed',"'{""description"": ""Withdrawal for shopping""}'",'W',15
19,5458609,'Deposit',3500.00,1,'2024-03-19 16:00:00','Pending',"'{""description"": ""Deposit from client""}'",'D',12
20,5458610,'Withdrawal',1700.00,1,'2024-03-20 17:00:00','Completed',"'{""description"": ""Withdrawal for bills""}'",'W',20
