1,5458591,'Groceries',150.00,'USD',1,'2022-01-05','Local Supermarket'
2,5458592,'Dining Out',60.00,'USD',2,'2022-02-10','Restaurant ABC'
3,5458593,'Utilities',100.00,'USD',3,'2022-03-15','Utility Company XYZ'
4,5458594,'Transportation',30.00,'USD',4,'2022-04-20','Gas Station'
5,5458595,'Entertainment',50.00,'USD',5,'2022-05-25','Movie Theater'
6,5458596,'Shopping',200.00,'USD',6,'2022-06-30','Online Store XYZ'
7,5458597,'Healthcare',80.00,'USD',7,'2022-07-05','Pharmacy ABC'
8,5458598,'Insurance',120.00,'USD',8,'2022-08-10','Insurance Company XYZ'
9,5458599,'Education',50.00,'USD',9,'2022-09-15','Bookstore'
10,5458600,'Travel',300.00,'USD',10,'2022-10-20','Airline XYZ'
11,5458601,'Subscriptions',20.00,'USD',11,'2022-11-25','Streaming Service ABC'
12,5458602,'Utilities',90.00,'USD',12,'2022-12-30','Utility Company XYZ'
13,5458603,'Dining Out',70.00,'USD',13,'2023-01-05','Restaurant XYZ'
14,5458604,'Shopping',180.00,'USD',14,'2023-02-10','Shopping Mall ABC'
15,5458605,'Entertainment',40.00,'USD',15,'2023-03-15','Amusement Park XYZ'
16,5458606,'Transportation',25.00,'USD',16,'2023-04-20','Public Transit'
17,5458607,'Groceries',120.00,'USD',17,'2023-05-25','Local Supermarket'
18,5458608,'Dining Out',80.00,'USD',18,'2023-06-30','Restaurant ABC'
19,5458609,'Healthcare',100.00,'USD',19,'2023-07-05','Pharmacy XYZ'
20,5458610,'Utilities',110.00,'USD',20,'2023-08-10','Utility Company ABC'
