1,'2022-01-05',2500.00,'Salary',5458591,1,'2022-01-05',true,'Monthly',true,300.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
2,'2022-02-10',1500.00,'Freelance Work',5458592,2,'2022-02-10',true,'Biweekly',true,200.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
3,'2022-03-15',3000.00,'Consulting Fees',5458593,3,'2022-03-15',false,NULL,false,0.00,NULL,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
4,'2022-04-20',2000.00,'Investment Dividends',5458594,4,'2022-04-20',true,'Quarterly',true,250.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
5,'2022-05-25',4000.00,'Rental Income',5458595,5,'2022-05-25',true,'Monthly',true,500.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
6,'2022-06-30',3500.00,'Sales Commission',5458596,6,'2022-06-30',false,NULL,false,0.00,NULL,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
7,'2022-07-05',2800.00,'Royalties',5458597,7,'2022-07-05',true,'Monthly',true,350.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
8,'2022-08-10',3200.00,'Bonus',5458598,8,'2022-08-10',false,NULL,false,0.00,NULL,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
9,'2022-09-15',2700.00,'Online Sales',5458599,9,'2022-09-15',true,'Biweekly',true,300.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
10,'2022-10-20',1800.00,'Tips',5458600,10,'2022-10-20',true,'Weekly',true,200.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
11,'2022-11-25',2200.00,'Contract Work',5458601,11,'2022-11-25',false,NULL,false,0.00,NULL,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
12,'2022-12-30',2600.00,'Investment Returns',5458602,12,'2022-12-30',true,'Monthly',true,320.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
13,'2023-01-05',2900.00,'Interest Income',5458603,13,'2023-01-05',true,'Monthly',true,350.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
14,'2023-02-10',1800.00,'Grants',5458604,14,'2023-02-10',false,NULL,false,0.00,NULL,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
15,'2023-03-15',3100.00,'Part-time Job',5458605,15,'2023-03-15',true,'Biweekly',true,400.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
16,'2023-04-20',2400.00,'Social Security Benefits',5458606,16,'2023-04-20',false,NULL,false,0.00,NULL,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
17,'2023-05-25',2600.00,'Selling Crafts',5458607,17,'2023-05-25',true,'Monthly',true,300.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
18,'2023-06-30',2200.00,'Affiliate Marketing',5458608,18,'2023-06-30',false,NULL,false,0.00,NULL,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
19,'2023-07-05',3300.00,'Stock Dividends',5458609,19,'2023-07-05',true,'Quarterly',true,400.00,'Income Tax','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
20,'2023-08-10',2800.00,'Online Courses',5458610,20,'2023-08-10',false,NULL,false,0.00,NULL,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
