1,5458591,1000.00,1,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Savings','Personal savings account','Savings','USA',5,'Stock',10.50,200.00
2,5458592,2500.00,2,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Investment','Investment portfolio','Investment','UK',8,'ETF',15.75,500.00
3,5458593,500.00,1,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Checking','Checking account','Checking','Canada',12,'Cash',30.25,300.00
4,5458594,1500.00,3,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Travel','Travel fund','Savings','France',7,'Currency',500.00,500.00
5,5458595,8000.00,4,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Education','Education fund','Savings','Germany',9,'ETF',20.50,1000.00
6,5458596,300.00,2,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Emergency','Emergency fund','Savings','Australia',11,'Stock',5.75,150.00
7,5458597,200.00,1,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Investment','Stock portfolio','Investment','USA',6,'Stock',3.25,250.00
8,5458598,750.00,3,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Savings','Vacation savings','Savings','UK',10,'Cash',50.00,600.00
9,5458599,1800.00,2,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Checking','Joint account','Checking','Canada',14,'ETF',25.00,800.00
10,5458600,400.00,4,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Education','Children education fund','Savings','France',15,'Currency',200.00,200.00
11,5458601,600.00,1,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Emergency','Emergency fund','Savings','Germany',16,'Stock',8.75,400.00
12,5458602,1200.00,3,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Investment','Diversified portfolio','Investment','Australia',18,'ETF',30.25,1200.00
13,5458603,1500.00,1,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Savings','Retirement savings','Savings','USA',20,'Stock',12.50,1500.00
14,5458604,2000.00,2,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Checking','Business account','Checking','UK',1,'ETF',40.00,1800.00
15,5458605,1000.00,4,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Travel','Travel fund','Savings','Canada',2,'Currency',350.00,400.00
16,5458606,3000.00,1,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Education','College savings','Savings','France',3,'Stock',17.50,700.00
17,5458607,500.00,2,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Emergency','Emergency fund','Savings','Germany',4,'ETF',10.75,300.00
18,5458608,900.00,3,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Investment','Retirement portfolio','Investment','Australia',9,'ETF',28.00,900.00
19,5458609,700.00,1,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Savings','Vacation savings','Savings','USA',13,'Stock',6.25,700.00
20,5458610,400.00,2,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514',true,'Checking','Personal account','Checking','UK',17,'ETF',20.50,200.00
