1,5458591,'USD','EUR',100.00,85.00,0.850000,2.00,'2022-01-01'
2,5458592,'EUR','GBP',200.00,175.00,0.875000,3.50,'2022-01-02'
3,5458593,'GBP','USD',150.00,200.00,1.333333,4.00,'2022-01-03'
4,5458594,'USD','JPY',300.00,25000.00,83.333333,5.00,'2022-01-04'
5,5458595,'JPY','AUD',50000.00,600.00,0.012000,2.50,'2022-01-05'
6,5458596,'AUD','CAD',400.00,350.00,0.875000,3.00,'2022-01-06'
7,5458597,'CAD','USD',200.00,150.00,0.750000,2.00,'2022-01-07'
8,5458598,'USD','EUR',1000.00,850.00,0.850000,4.50,'2022-01-08'
9,5458599,'EUR','GBP',600.00,525.00,0.875000,3.75,'2022-01-09'
10,5458600,'GBP','USD',450.00,600.00,1.333333,5.00,'2022-01-10'
11,5458601,'USD','JPY',800.00,66666.67,83.333333,5.50,'2022-01-11'
12,5458602,'JPY','AUD',70000.00,840.00,0.012000,3.00,'2022-01-12'
13,5458603,'AUD','CAD',550.00,480.00,0.875000,3.25,'2022-01-13'
14,5458604,'CAD','USD',300.00,225.00,0.750000,2.50,'2022-01-14'
15,5458605,'USD','EUR',1500.00,1275.00,0.850000,5.00,'2022-01-15'
16,5458606,'EUR','GBP',900.00,787.50,0.875000,4.00,'2022-01-16'
17,5458607,'GBP','USD',700.00,933.33,1.333333,5.50,'2022-01-17'
18,5458608,'USD','JPY',1200.00,100000.00,83.333333,6.00,'2022-01-18'
19,5458609,'JPY','AUD',90000.00,1080.00,0.012000,3.50,'2022-01-19'
20,5458610,'AUD','CAD',800.00,700.00,0.875000,4.00,'2022-01-20'
